cell	clone
9310983	13/15/19/20/24
9431388	27/29/30/31/35/38
9571583	51/60
9573578	51/60
9623411	27/29/30/31/35/38
9688908	66
9707879	6
9709704	2/5
9722799	1/3
9751263	8/18/23/32/34/37/45/48/50
9761432	8/18/23/32/34/37/45/48/52
9770762	56/59
9771658	8/18/23/32/34/37/45/48/55
9780353	51/60
9787060	51/60
9790674	66
9794425	51/60
9794595	51/60
9800490	0/1/3
9801437	0
9802145	0
9807844	6
9812157	1/3
9813169	2/5
9813867	0
9819748	2
9822388	4
9823937	2
9824860	0
9825410	27/29/30/31/35/38/46/47
9837109	27/29/30/31/35/38
9851661	8/18/23/32/34/37/45/48/50
9854193	8/18/23/32/34/37/45/48/52
9855781	8/18/23/32/34/37/45/48/52
9855910	8/18/23/32/34/37/45/48/50
9859067	8/18/23/32/34/37/45/48/52
9859481	8/18/23/32/34/37/45/48/50
9860449	8/18/23/32/34/37/45/48/52
9861871	8/18/23/32/34/37/45/48/52
9868541	56/57
9871865	8/18/23/32/34/37/45/48/54
9872863	8/18/23/32/34/37/45/48/54
9874170	8/18/23/32/34/37/45/48/54
9878251	51/60
9879866	51/60
9885924	51/60
9885929	51/60
9886639	51/60
9887008	51/60
9891512	66
