node	tissue
goldA	right-subdural
blueD	right-inguinal-lymph-node
light-brownE	left-adrenal-gland
greyE	left-adrenal-gland
mid-greenC	prostate
dark-pinkC	prostate
dark-purpleC	prostate
dark-purpleD	right-inguinal-lymph-node
dark-purpleE	left-adrenal-gland
dark-purpleF	right-rib-7
orangeA	right-subdural
orangeC	prostate
orangeD	right-inguinal-lymph-node
orangeE	left-adrenal-gland
orangeF	right-rib-7
dark-greenA	right-subdural
dark-greenF	right-rib-7
light-blueD	right-inguinal-lymph-node
light-blueF	right-rib-7
