node	tissue	leaves	parent_node	parent_tissue	migration_event
0	t1	False			
1	t1	False	0	t1	False
2	t2	False	1	t1	True
3	t1	False	1	t1	False
4	t1	False	3	t1	False
5	t1	False	3	t1	False
6	t2	False	5	t1	True
7	t2	False	5	t1	True
8	t2	True	2	t2	False
9	t2	False	2	t2	False
10	t3	False	6	t2	True
11	t2	False	6	t2	False
12	t1	False	9	t2	True
13	t2	True	9	t2	False
14	t1	False	12	t1	False
15	t3	False	12	t1	True
16	t1	False	14	t1	False
17	t1	False	14	t1	False
18	t1	True	17	t1	False
19	t1	True	17	t1	False
20	t3	False	15	t3	False
21	t3	False	15	t3	False
22	t3	False	20	t3	False
23	t1	False	20	t3	True
24	t1	False	22	t3	True
25	t3	False	22	t3	False
26	t1	False	4	t1	False
27	t1	False	4	t1	False
28	t3	False	25	t3	False
29	t3	False	25	t3	False
30	t1	False	11	t2	True
31	t1	False	11	t2	True
32	t1	True	26	t1	False
33	t1	False	26	t1	False
34	t3	False	16	t1	True
35	t3	False	16	t1	True
36	t2	True	7	t2	False
37	t2	False	7	t2	False
38	t1	False	27	t1	False
39	t3	False	27	t1	True
40	t1	True	38	t1	False
41	t2	False	38	t1	True
42	t1	False	33	t1	False
43	t1	True	33	t1	False
44	t2	False	31	t1	True
45	t2	False	31	t1	True
46	t2	True	37	t2	False
47	t2	True	37	t2	False
48	t2	True	41	t2	False
49	t2	True	41	t2	False
50	t3	True	35	t3	False
51	t3	True	35	t3	False
52	t1	True	23	t1	False
53	t1	True	23	t1	False
54	t3	True	39	t3	False
55	t3	True	39	t3	False
56	t2	True	45	t2	False
57	t2	False	45	t2	False
58	t1	False	42	t1	False
59	t2	False	42	t1	True
60	t3	False	10	t3	False
61	t3	False	10	t3	False
62	t2	False	58	t1	True
63	t1	True	58	t1	False
64	t1	False	60	t3	True
65	t3	False	60	t3	False
66	t3	False	59	t2	True
67	t2	True	59	t2	False
68	t1	False	65	t3	True
69	t3	True	65	t3	False
70	t1	True	68	t1	False
71	t1	True	68	t1	False
72	t3	True	61	t3	False
73	t3	True	61	t3	False
74	t3	True	29	t3	False
75	t3	True	29	t3	False
76	t2	False	66	t3	True
77	t3	True	66	t3	False
78	t2	True	57	t2	False
79	t2	True	57	t2	False
80	t2	True	62	t2	False
81	t2	False	62	t2	False
82	t1	True	24	t1	False
83	t1	True	24	t1	False
84	t2	True	76	t2	False
85	t2	True	76	t2	False
86	t2	True	44	t2	False
87	t2	True	44	t2	False
88	t1	True	64	t1	False
89	t1	True	64	t1	False
90	t3	True	21	t3	False
91	t3	True	21	t3	False
92	t1	True	30	t1	False
93	t1	True	30	t1	False
94	t2	True	81	t2	False
95	t2	True	81	t2	False
96	t3	True	28	t3	False
97	t3	True	28	t3	False
98	t3	True	34	t3	False
99	t3	True	34	t3	False
