cell	clone
8358327	12/17/20
8390204	26/27/33/34/42/44/46
8450298	13/14/19/22/23/28/35/43
8579047	49
8591128	13/14/19/22/23/28/35/43
8592801	13/14/19/22/23/28/35/43
8625101	9
8628774	1
8631673	1/4
8649092	12/17/20
8656700	25
8668934	26/27/33/34/42/44/46
8692140	26/27/33/34/42/44/46
8698815	26/27/33/34/42/44/46
8706452	26/27/33/34/42/44/46
8717907	50
8747901	13/14/19/22/23/28/35/43
8760770	8/16/21/24/32/58
8763141	0/5
8763849	0
8773861	1
8774873	6
8775571	5
8781452	2/3
8784092	2/3
8785641	0
8786564	0
8787114	12/17/20
8798813	25/29
8815897	26/27/33/34/42/44/46
8820771	26/27/33/34/42/44/46
8821185	26/27/33/34/42/44/46
8822153	26/27/33/34/42/44/46
8823575	26/27/33/34/42/44/46
8830245	26/27/33/34/42/44/46
8833569	26/27/33/34/42/44/46
8834567	26/27/33/34/42/44/46
8835874	26/27/33/34/42/44/46
8847628	26/27/33/34/42/44/46
8848343	26/27/33/34/42/44/46
8848712	26/27/33/34/42/44/46
8866838	10/11/18/30/37/39/40
8880066	49
8881906	48
8882118	48
8887291	13/14/19/22/23/28/35/43
8897947	52
8898015	52
8901537	13/14/19/22/23/28/35/43
8914461	8/16/21/24/32/56
