cell	clone
7378358	7/14/17/20/27/31/35/36/37
7670438	60
7685395	21/29/34/38/40/57
7703360	44/46/49/71
7724703	0
7857638	21/29/34/38/40/57
7866900	21/29/34/38/40/57
7896418	0
7908045	1
7961464	7/14/17/20/27/31/35/36/37
8068460	52
8096346	0
8102679	0
8112054	7/14/17/20/27/31/35/36/37
8116316	7/14/17/20/27/31/35/36/37
8120795	7/14/17/20/27/31/35/36/37
8145382	42
8149857	7/14/17/20/27/31/35/36/37
8203072	60
8219941	62
8221306	62
8223473	60
8227859	60
8233942	60
8243183	63
8247851	21/29/34/38/40/57
8257321	52
8292110	1/2
8304112	2/5
8304596	0
8318738	7/14/17/20/27/31/35/36/37
8339721	7/14/17/20/27/31/35/36/37
8341651	7/14/17/20/27/31/35/36/37
8341888	7/14/17/20/27/31/35/36/37
8346129	7/14/17/20/27/31/35/36/37
8348926	7/14/17/20/27/31/35/36/37
8366714	60
8367798	60
8400992	60
8401204	60
8406377	60
8417101	60
8420623	60
8437935	21/29/34/38/40/61
8439236	21/29/34/38/40/57
8449575	21/29/34/38/40
8451978	61
8454874	52
8463926	69
8466335	69
