cell	clone
10029530	0/3
10042358	0/3
10047942	20
10095979	40/41/48/51/52/53
10191569	0/5/9/11
10193337	0/5/9/11
10203745	16/17/22/25
10213274	16/17/22/25
10218015	32
10227013	40/41/48/51/52
10237078	40/41/48/51/52
10241153	40/41/48/51/52
10252276	42/54
10261622	60
10266429	60
10274034	0/1/4/7
10274742	0/2
10284754	0/3
10285766	0/2
10286464	0/3
10292345	0/3
10294985	6
10296534	0/3
10297457	0/1
10298007	4/7
10309706	0/5/9/11
10324258	21
10326790	0/13/19/26/27/36
10328378	0/13/19/26/27
10331664	31
10332078	16/17/22/25
10333046	0/13/19/26/27
10334468	31
10341138	35/38
10344462	0/13/19/26/27
10345460	34
10346767	34
10352463	40/41/48/51/52/56
10358521	40/41/48/51/52
10358526	40/41/48/51/52
10359236	53
10359605	56/58
10382790	42/54
10385209	62
10397647	60/64
10400459	0/8/10/12/15/23/30/39/49/59/65/71/73/75/76/77
9755855	42/54/60
9762951	60/64
9860603	40/41/48/51/52
9908346	0/5/9/11
