cell	clone
5068598	33/35
5094779	33/35
5168410	20
5170974	20
5229136	3
5237199	3
5289278	33/35
5319807	33/35
5327204	16/17/55/69
5339133	2/4
5339644	0
5341627	0
5344093	3
5368164	20
5404038	33/35
5408762	33/35
5448835	0/3
5449209	2/4
5491385	33/35
5504179	33/35
5505189	33/35
5515272	33/35
5523504	33/35
5528304	33/35
5541625	0
5550645	7/9/10
5552488	0
5555467	0
5559080	0
5561689	3
5576468	20/21
5591020	23/24
5593552	21
5595140	20
5598426	41/45
5598840	33/35
5599808	33/35
5601230	33/35
5607900	33/35
5611224	33/35
5612222	33/35
5613529	33/35
5619225	33/35
5625283	33/35
5625288	33/35
5625998	33/35
5626367	33/35
5630871	33/35
5643045	33/35
5644493	33/35
