cell	clone
7137421	1/10/13/27
7237111	4
7297994	60
7518637	1/10/13/27
7552989	60
7601282	31/32/43/49/50/52/56/62
7618106	0/1
7623138	16/18/19/24/30
7645565	1/10/13/27
7665046	3/12/28/36/37/39
7684385	42
7697964	60
7701995	65
7717086	1/21/22/23/25/29/44/46/58/59
7728986	1/21/22/23/25/29/44/46/58/59
7736398	31/32/43/49/50/52/56/62/74
7742461	31/32/43/49/50/52/56/62
7744054	31/32/43/49/50/52/56/62
7745670	0/1
7746378	0/2
7756390	5
7757402	0
7758100	2
7763981	2
7766621	4
7768170	0
7769093	0
7769643	0
7781342	1/10/13/27
7798426	8/11/17/20/26/40/51/53/57/67
7803300	42/45
7803714	42/45
7804682	42/45
7806104	3/12/28/36/37/39
7812774	42/45
7816098	3/12/28/36/37/39
7817096	3/12/28/36/37/39
7818403	42/45
7830157	60
7830872	60
7831241	60
7849367	1/21/22/23/25/29/44/46/58/59/64/68
7862595	1/21/22/23/25/29/44/46/58/59
7864435	1/21/22/23/25/29/44/46/58/59
7864647	1/21/22/23/25/29/44/46/58/59
7869820	1/21/22/23/25/29/44/46/58/59
7876364	31/32/43/49/50/52/56/62
7880476	31/32/43/49/50/52/56/62
7880544	31/32/43/49/50/52/56/62
7884066	31/32/43/49/50/52/56/62
