cell	clone
7503030	12/22
7545884	18/24
7556524	0/1
7574834	8
7609182	22
7660486	14/17/27/29/39/41
7667690	4
7680570	0/1
7691445	9/10/13
7702154	9/10/13/19
7710131	9/10/15
7720245	25
7720439	22
7728231	25
7742358	18/24
7748982	31
7752471	18/24
7756601	32
7766048	14/17/27/29/39/41
7767870	0/1/2/3
7768578	0/1
7778590	2/3
7779602	2/3
7780300	2/3
7786181	0/1
7788821	0/1
7790370	4
7791293	5
7791843	7
7803542	9/10/13/20
7818094	9/10/16
7820626	12/23
7822214	12/23
7822343	12/22/25
7825500	12
7825914	12
7826882	22
7828304	23
7834974	22
7838298	25
7839296	22
7840603	22
7846299	18/24/32
7852357	32
7852362	32
7853072	32
7853441	34/35
7857945	31
7870119	14/17/27/29/39/41
7871567	14/17/27/29/39/41
