	0	1	2	3	4	5	6	7	8	9
8131895	58	0	0	0	71	0	23	23	2	61
8067628	0	61	21	47	80	95	92	0	84	98
8131187	17	0	4	0	28	100	-1	24	13	0
8155160	0	56	86	0	4	24	0	86	43	85
7982798	85	0	0	0	17	0	4	0	39	80
8154942	51	92	54	24	4	65	23	37	74	0
8130240	65	0	75	51	4	46	0	41	0	0
8149498	74	70	0	38	4	24	0	94	0	0
8137594	16	81	86	23	4	0	60	0	0	70
8143617	39	47	73	0	0	4	95	0	0	81
7888381	24	83	0	23	81	30	85	92	0	56
8152138	73	0	23	23	0	91	100	-1	27	2
8142919	47	0	0	4	64	85	24	81	98	0
8153687	64	51	5	0	0	0	50	81	92	0
7894411	0	0	59	11	72	65	80	39	0	43
8146383	85	98	0	0	92	39	61	24	0	0
8154610	65	0	0	51	0	0	0	0	11	24
7851015	0	0	0	0	0	47	0	0	59	0
8008097	0	85	0	10	77	86	0	0	0	0
8091968	27	0	0	0	0	0	0	73	51	0
8178880	0	0	0	0	0	0	0	11	0	56
8183943	56	24	4	11	13	23	0	89	30	57
8141907	30	0	0	0	92	77	92	63	11	0
8061166	65	0	0	0	83	0	85	0	11	85
8188817	56	92	4	11	95	23	50	89	0	47
8198291	56	53	4	11	81	23	0	89	0	90
8084225	0	0	0	85	0	80	0	33	0	95
8166859	0	0	0	85	75	50	10	0	77	0
7961152	0	0	0	0	4	21	30	0	0	73
7852472	56	0	4	11	0	74	66	89	0	0
8185660	56	23	4	11	0	81	56	89	0	86
7788653	56	0	4	11	0	0	0	89	95	0
8203920	56	0	4	11	0	0	0	89	0	50
8185531	56	0	4	11	0	0	39	89	0	92
8201615	56	0	4	11	0	86	39	89	0	0
8209616	4	92	0	0	4	0	0	0	0	0
8196058	56	0	4	11	0	96	0	89	0	94
8202613	56	0	4	11	93	23	0	89	91	11
8181411	56	0	4	11	28	0	0	89	0	0
8196666	56	0	4	11	0	0	47	89	61	0
8190871	56	0	4	11	56	4	0	89	26	64
8040316	93	0	0	0	4	94	0	0	0	0
8208001	0	0	0	0	4	0	0	43	0	0
8192922	56	0	4	11	93	0	17	89	0	0
8116034	56	0	4	11	0	47	6	89	0	100
8191621	56	92	4	11	82	0	0	89	92	0
8189231	56	85	4	11	94	0	17	89	0	0
8115349	56	68	4	11	94	0	92	89	54	37
8190199	56	70	4	11	13	0	65	89	0	0
8099441	56	70	4	11	39	64	65	89	65	0
