cell	clone
6192643	23/25/38
6232424	14/15/16/17/35/39
6268917	0/1/2/3/6
6328022	41
6351317	27/30
6403349	0/1/2/3/6
6408154	0/1/2/3/6
6421494	23/25/38
6458604	23/25/38
6489945	14/15/16/17/35/39
6505226	10
6510282	7/13
6518326	7/13
6571691	23/25/38
6575638	23/25/38
6582246	23/25/38
6601241	7/11/18/19/20/21/22
6625996	44
6627225	0/9
6627933	0/1/4/5/8
6637945	0/1/2/3/6/7
6638957	0/1/4/5
6639655	0/1/2/3/6
6645536	0/1/4/5
6648176	12
6649725	8
6650648	0/1/2/3/6
6651198	0/1/2/3/6
6662897	0/1/2/3/6
6677449	0/1/2/3/6
6679981	23/25/38
6681569	23/25/38
6684855	23/25/38
6685269	23/25/38
6686237	23/25/38
6687659	40
6694329	40
6697653	40
6698651	23/25/38
6699958	23/25/38
6705654	23/25/38
6711712	40
6712427	23/25/38
6712796	40
6730922	7/11/18/19/20/21/22/32
6744150	26/33
6745990	29
6746202	29
6751375	7/11/18/19/20/21/22
6757919	14/15/16/17/35/39
