cell	clone
10986623	37/44
11117062	0
11161981	26
11224639	0
11309013	51
11399687	22/24/32/34
11401178	37/42
11425467	47
11435418	2
11442113	0
11464328	14/15/20
11476169	14/15/20
11488223	22/24/32/34
11498844	22/24/32/34
11499174	22/24/32/34
11500847	39
11514549	37/44
11522060	49
11532438	37/46
11533887	0
11534595	0
11544607	0
11545619	0
11546317	0
11552198	2
11554838	5/6
11556387	4
11557310	0
11557860	0
11569559	14/15/20/26
11584111	26
11586643	14/15/20
11588231	22/24/32/34
11588360	22/24/32/34
11591517	22/24/32/34
11591931	22/24/32/34
11592899	22/24/32/34
11594321	39/40
11600991	22/24/32/34
11604315	22/24/32/34
11605313	22/24/32/34
11606620	22/24/32/34
11612316	22/24/32/34
11618374	37/44
11618379	37/44
11619089	37/44
11619458	37/46
11623962	51
11636136	37/46
11637584	37/44
