cell	clone
12109898	17/28/37/39/46/49
12292123	50
12540636	4/20/40
12581574	6/24/27/64
12603095	0
12607248	0
12724287	4/20/40
12739637	57
12746327	6/24/27
12813708	50
12840181	0
12844155	21
12850841	0
12869812	1/15/29/38
12893505	4/20/40
12900206	4/20/40
12913493	4/20/40
12924294	9/25/31/35/45/63
12936255	66
12941622	0/1
12942330	0
12952342	0
12953354	0
12959933	2
12962573	0
12965045	0
12965595	17/28/37/39/46/49
12977294	17/28/37/39/46/49
12994378	17/28/37/39/46/49
12999252	17/28/37/39/46/49
12999666	17/28/37/39/46/49
13000634	17/28/37/39/46/49
13002056	50
13008726	17/28/37/39/46/49
13012050	17/28/37/39/46/49
13013048	17/28/37/39/46/49
13014355	17/28/37/39/46/49
13026109	12
13027193	3/10
13060387	1/15/29
13060599	1/15/29
13065772	1/15
13076496	5/11/23/26/48
13080018	5/11/23/26/48
13094352	6/24/27/66
13097330	6/24/27/64
13098631	6/24/27/64
13108970	57
13111373	6/24/27
13114269	6/24/27
