	0	1	2	3	4	5	6	7	8	9
9224374	0	55	0	56	34	72	12	8	0	40
9403023	85	68	0	54	55	15	0	98	5	0
9594277	0	42	56	0	80	76	0	85	60	0
9590066	0	42	80	14	97	7	0	13	0	14
9578416	34	42	0	61	54	0	0	53	76	31
9739135	0	28	0	48	5	85	0	75	0	75
9741538	0	28	0	48	5	0	8	75	82	75
9571433	97	11	51	0	0	54	0	0	79	13
9413758	61	22	0	8	0	0	22	57	0	5
9543883	10	22	90	0	19	84	55	0	0	5
9628312	0	60	33	94	8	21	79	55	7	51
9399228	0	22	54	0	61	51	8	71	72	5
9404759	55	22	20	69	0	0	0	1	20	5
9706661	37	22	22	0	19	84	55	0	0	5
9525522	0	22	0	11	19	84	55	20	0	5
9182363	51	22	0	0	19	84	55	20	8	5
9656274	15	42	17	0	8	93	0	80	80	51
9470418	0	42	27	0	8	93	56	80	80	14
9474309	0	42	21	33	8	93	0	80	80	0
9617658	0	60	0	94	8	21	79	55	7	51
9625697	27	60	78	94	8	21	79	55	7	51
9281438	0	60	75	94	8	21	79	55	7	51
9434627	0	60	49	94	8	21	79	55	7	51
9290714	0	60	0	94	8	21	79	55	7	51
9500022	64	84	49	55	14	80	30	16	0	30
9695937	64	75	49	55	14	29	30	0	37	30
9690552	64	0	49	55	14	75	30	0	0	30
9690764	64	0	49	55	14	0	30	8	34	30
9530477	0	22	0	0	19	84	55	0	8	5
9139564	15	42	0	76	8	93	93	80	80	69
9657358	15	42	0	22	8	93	0	80	80	0
9637877	0	60	0	94	8	21	79	55	7	51
9459755	0	60	22	94	8	21	79	55	7	51
9389679	0	60	0	94	8	21	79	55	7	51
9753486	0	60	0	94	8	21	79	55	7	51
9215090	0	60	0	94	8	21	79	55	7	51
9744434	0	60	0	94	8	21	79	55	7	51
9359582	0	22	0	0	19	84	55	0	0	5
9710183	0	22	0	0	19	84	55	52	0	5
9724517	72	60	0	94	8	21	79	55	7	51
9727495	13	60	0	94	8	21	79	55	7	51
9551895	0	60	0	94	8	21	79	55	7	51
9462590	81	60	0	94	8	21	79	55	7	51
9635636	0	60	0	94	8	21	79	55	7	51
9259924	0	60	32	94	8	21	79	55	7	51
9633604	0	60	0	94	8	21	79	55	7	51
9376427	0	60	0	94	8	21	79	55	7	51
9728796	0	60	0	94	8	21	79	55	7	51
9379409	0	60	0	94	8	21	79	55	7	51
9552704	0	60	0	94	8	21	79	55	7	51
