cell	clone
13187632	97/99/100
13376887	0
13486349	2/3/5/6/19/24/43/52/54/55/73/74/89/91
13520500	1
13563231	26/39/57/59/61/77/81
13621755	2/3/5/6/19/24/43/52/54/55/73/74/89/91/97/99/100
13656088	80/90
13706884	10/15/16/18/20/30/40/45/56/64/67/68/71/72
13730757	26/39
13786459	2/3/5/6/19/24/43/52/54/55/73/74/89/91
13837112	2/7/8/12/13/14/17
13870808	11/21/27/29/32/33/35/46/53/62/63/70/83/87/101
13898429	26/39
13945780	2/3/5/6/19/24/43/52/54/55/73/74/89/91
13956382	80/90
13956441	80/90
13972676	110
13974275	0/1
13974983	0
13984995	1
13986007	1
13986705	1
13992586	0
13995226	4
13996775	0
13997698	4
13998248	0
14009947	11/21/27/29/32/33/35/46/53/62/63/70/83/87/101/109
14027031	26/39/49/50/51
14031905	49/50/51
14032319	48
14033287	49/50/51
14034709	48
14041379	26/39
14044703	26/39
14045701	49/50/51
14047008	26/39
14052333	75/79
14057144	60/66
14057395	79
14060325	60/66
14061832	60/66
14068641	75
14080540	2/3/5/6/19/24/43/52/54/55/73/74/89/91/97/99/100
14091941	2/3/5/6/19/24/43/52/54/55/73/74/89/91
14104285	80/90
14106051	113
14110953	80/90
14112753	80/90
14124257	110
