	0	1	2	3	4	5	6	7	8	9
6560802	0	52	24	14	42	89	32	0	0	4
7086577	52	0	10	71	42	9	0	0	0	4
7063154	0	0	0	0	42	11	4	10	0	90
6970653	2	54	41	61	42	11	0	6	0	90
6978818	24	0	0	77	42	11	54	75	0	90
7085654	0	87	27	79	42	11	73	0	81	90
7063862	65	27	6	100	42	11	0	0	83	90
7084105	65	83	16	0	42	11	25	7	0	90
7073874	0	0	0	65	42	11	0	0	0	90
7075584	0	0	23	88	42	11	0	0	50	90
7087127	73	0	0	0	42	11	0	0	27	90
7081465	6	0	67	0	42	11	0	63	0	90
6860823	6	72	13	18	42	11	32	0	0	90
7074886	65	54	0	75	42	11	100	71	0	90
7032242	0	0	36	0	42	11	0	0	27	90
7141583	0	43	36	0	42	11	0	0	27	90
7148725	65	0	0	29	-1	11	0	0	0	90
6681154	6	0	0	27	42	11	62	8	67	90
6885386	6	23	43	0	42	11	62	0	0	90
7120784	6	0	14	4	42	11	32	0	70	90
7122166	6	33	0	61	42	11	32	0	70	90
6450518	65	0	0	29	-1	11	0	72	0	90
6451526	65	0	0	29	-1	11	0	0	0	90
7098826	6	0	0	0	42	11	62	0	34	90
6696351	6	83	0	83	42	11	62	17	0	90
7113378	6	0	71	0	42	11	62	0	48	90
7133582	6	0	14	43	42	11	32	0	70	90
7027233	6	0	42	0	42	11	32	13	70	90
6917904	6	53	0	0	42	11	32	0	70	90
6933456	6	0	0	85	42	11	62	0	26	90
7121198	6	33	29	-1	42	11	32	71	70	90
7134580	6	0	90	0	42	11	32	0	70	90
7130258	6	31	0	54	42	11	32	100	70	90
7123588	6	67	54	16	42	11	32	99	70	90
7115910	6	31	14	43	42	11	32	13	70	90
7165403	6	0	14	43	42	11	32	0	70	90
6806451	6	0	0	0	42	11	32	75	70	90
7117498	6	9	0	41	42	11	32	0	70	90
7148356	6	0	0	85	42	11	62	0	0	90
7147641	6	0	0	85	42	11	62	0	0	90
7034504	6	0	0	85	42	11	62	0	0	90
7153229	6	0	0	85	42	11	62	79	0	90
7135887	6	0	14	43	42	11	32	0	70	90
6925689	6	0	14	43	42	11	32	4	70	90
7059679	6	0	14	43	42	11	32	0	70	90
7166851	6	0	14	43	42	11	32	0	70	90
7147646	6	0	0	85	42	11	62	65	0	90
7041972	6	0	0	85	42	11	62	0	0	90
6951626	6	0	14	43	42	11	32	0	70	90
6951251	6	0	14	43	42	11	32	0	70	90
