cell	clone
12982279	4/11/19
13129400	53
13134143	10/13/20/27/31/33/44/47
13139435	39/43
13153318	39/43
13229410	5/9/12
13302755	26/30/35/45/48/65/68
13332256	0/2
13337253	1
13345398	0
13367172	4/11/19/22/23
13379514	7/14/16/18/21/24/34/37
13402913	39/43
13409544	56
13417061	51
13439822	26/30/35/45/48/65/68
13448659	69/76/77
13451668	72/75
13453080	0/2
13453788	0/1
13463800	8
13464812	0/1
13465510	0
13471391	0
13474031	2
13475580	2
13476503	1
13477053	15/17/46/55/62
13488752	4/11/19/22/23
13503304	4/11/19
13505836	7/14/16/18/21/24/34/37/53
13507424	7/14/16/18/21/24/34/37/53
13510710	53
13511124	53
13512092	66
13513514	60/63/67
13520184	53
13523508	53
13524506	53
13525813	10/13/20/27/31/33/44/47
13531509	39/43
13537567	39/43
13537572	39/43
13538282	39/43
13538651	39/43
13556777	26/30/35/45/48/65/68
13570005	22/36/38/58
13571845	26/30/35/45/48/65/68
13572057	22/36/38/58
13577230	22/36/38/58
