	0	1	2	3	4	5	6	7	8	9
10547663	100	0	54	46	34	17	14	39	60	0
10181757	94	0	54	0	22	96	68	77	53	8
10556114	71	0	54	8	55	89	0	59	81	97
10163360	100	0	54	21	6	0	0	90	0	79
10559597	0	12	54	16	6	53	87	99	0	0
10539024	21	54	54	28	90	79	36	43	32	46
10169764	22	79	54	6	39	0	33	54	0	50
10423472	100	0	54	0	6	0	87	47	0	27
10185069	53	17	54	94	6	0	94	59	96	21
10292933	19	0	54	72	6	0	0	0	11	0
10435799	56	33	54	81	0	19	0	0	61	36
10587080	94	46	54	22	6	0	6	68	0	87
10417014	80	6	54	94	53	0	54	0	55	0
10546847	94	0	54	48	53	0	54	17	94	89
10655826	0	0	54	0	0	38	46	54	0	0
10393494	0	0	54	0	0	38	46	54	0	0
10519428	0	0	54	0	0	38	46	54	0	0
10456298	92	0	54	22	6	94	100	68	100	0
10575340	0	81	54	22	6	0	0	68	0	0
10407450	0	0	54	0	55	38	46	54	0	0
10625367	63	21	54	22	6	54	0	68	89	0
10471167	88	0	54	22	6	94	0	68	14	37
10628800	60	21	54	22	6	54	0	68	89	76
10371741	0	21	54	22	6	54	64	68	89	0
10496604	0	21	54	22	6	54	64	68	89	0
10408067	0	0	54	0	0	38	46	54	0	0
10282356	94	0	54	0	0	38	46	54	0	0
10644425	90	87	54	0	59	38	46	54	0	0
10642825	24	0	54	0	8	38	46	54	0	0
10583080	0	37	54	22	6	94	24	68	39	21
10219000	0	44	54	22	6	94	0	68	14	48
10232151	0	44	54	22	6	94	0	68	14	0
10595452	0	46	54	22	6	94	13	68	48	81
10464873	0	0	54	22	6	94	0	68	0	79
10604861	0	0	54	22	6	94	0	68	0	0
10479170	0	0	54	22	6	94	0	68	59	0
10482472	0	75	54	22	6	94	0	68	90	8
10490534	0	21	54	22	6	54	0	68	89	47
10618731	0	21	54	22	6	54	0	68	89	0
10497288	8	21	54	22	6	54	46	68	89	94
10632926	0	21	54	22	6	54	48	68	89	0
10614799	0	21	54	22	6	54	48	68	89	0
9969231	0	0	54	22	6	94	0	68	55	81
10346648	0	0	54	22	6	94	0	68	0	81
10462351	36	79	54	22	6	94	0	68	14	0
10466430	79	0	54	22	6	94	0	68	0	0
10358897	94	0	54	22	6	94	0	68	0	0
10609662	0	0	54	22	6	94	0	68	0	77
10496600	0	21	54	22	6	54	0	68	89	0
10632755	87	21	54	22	6	54	56	68	89	0
