cell	clone
3977499	2
4097550	12/14/16/19/27/33
4123777	4/8/9
4127197	0
4199027	0
4229493	11/15
4238835	12/14/16/19/27/33/50
4258594	22/34/54
4262950	2
4264603	1
4266027	0
4266351	1
4268187	2
4271236	2
4277922	3
4280498	5
4298300	25
4306106	11/15
4311604	12/14/16/19/27/33
4318793	12/14/16/19/27/33
4325908	47/48
4331501	30/37/41/51/56/62
4334245	30/37/41/51
4339461	2
4342737	3
4342792	1
4349303	2
4352229	0/2
4361962	0
4362124	0/3
4362666	11/15
4374365	11/15
4386386	11/15
4388917	12/14/16/19/27/33
4391449	12/14/16/19/27/33
4393037	47/48
4393166	50
4396323	49
4396737	49
4397705	12/14/16/19/27/33
4398377	12/14/16/19/27/33
4399127	49
4400428	47/48
4403564	12/14/16/19/27/33
4404172	12/14/16/19/27/33
4405797	12/14/16/19/27/33
4409121	30/37/41/51/61
4410119	30/37/41/51/56/62
4411426	30/37/41/51
4415507	22/34/54
