cell	clone
8357389	45
8481944	22/24
8579375	30/36/37/40/47
8597235	45
8608155	1
8620604	7
8628674	1
8652687	25
8691172	3
8692931	1
8714025	22/24
8719655	21/23
8726861	5/8
8740518	30/36/37/40
8749968	45
8754862	47
8758018	45
8759452	0
8760399	3
8761107	1
8766806	7
8771119	3
8772131	2/4
8772829	2/4
8775595	0
8776681	3
8778710	1
8781350	3
8782899	1
8783822	1
8784154	0
8784372	1
8796071	14
8808092	18/20
8810623	14
8813155	30/36/37/40/45
8814743	30/36/37/40/45
8814872	30/36/37/40/45
8818029	45
8818443	30/36/37/40
8819411	47
8820083	45
8820833	45
8822134	48
8825270	45
8825878	45
8827503	45
8830827	30/36/37/40
8831825	47
8833132	47
