node	tissue
GL	P
0	P
0-P	P
2	P
2-P	P
79	P
119-167-240	P
119-167-240-P	P
847-P	P
1045-P	P
528-549-P	P
106-174	P
614	P
614-P	P
1053-P	P
780	P
780-P	P
1114-P	P
940-P	P
1007	P
1007-P	P
1098-P	P
1062-P	P
287	P
348	P
348-P	P
850-P	P
484	P
484-P	P
824-P	P
939-P	P
1055	P
1055-P	P
1116-P	P
411	P
411-P	P
878-P	P
944-P	P
975	P
975-P	P
1120-P	P
494-511	P
494-511-P	P
1050-P	P
1095-P	P
1102-P	P
498	P
498-P	P
976-P	P
1103-P	P
796-1051-P	P
974	P
974-P	P
1052-P	P
1067-P	P
1111-P	P
4	P
41	P
41-P	P
93-206	P
93-206-P	P
1058	P
1058-P	P
1107-P	P
1112-P	P
223	P
680-P	P
460	P
460-P	P
946-P	P
1104-P	P
1108-P	P
634	P
890-P	P
791	P
791-P	P
1060-P	P
1122-P	P
237	P
237-P	P
677	P
677-P	P
727-P	P
978	P
978-P	P
1041-P	P
1043-P	P
1065-P	P
1117-P	P
86-234	P
497	P
497-P	P
1099-P	P
1118-P	P
581	P
581-P	P
1061-P	P
87	P
87-P	P
646	P
646-P	P
1001-P	P
1101-P	P
977-P	P
1039-P	P
1040-P	P
1054-P	P
109	P
109-P	P
113	P
211	P
980-P	P
247	P
247-P	P
1110-P	P
123-304	P
123-304-P	P
902	P
902-P	P
1115-P	P
943-P	P
1106-P	P
125	P
125-P	P
1096-P	P
184-P	P
236-576-654-P	P
265-382	P
265-382-P	P
973	P
973-P	P
1100-P	P
1119-P	P
404-P	P
479	P
479-P	P
1056-P	P
1105-P	P
543	P
543-P	P
1121-P	P
556	P
556-P	P
828-P	P
640-P	P
900-P	P
935-P	P
1047-P	P
1059-P	P
1094-P	P
1097-P	P
1109-P	P
1113-P	P
2-M1	M1
79-M1	M1
771-809-M1	M1
891-M1	M1
1021-M1	M1
1126-M1	M1
1127-M1	M1
1129-M1	M1
1130-M1	M1
1136-M1	M1
1137-M1	M1
1138-M1	M1
907-M1	M1
626-M1	M1
928-991	M1
928-991-M1	M1
1028-M1	M1
1135-M1	M1
1026-M1	M1
48-328-412-M1	M1
775	M1
775-M1	M1
1139-M1	M1
925-M1	M1
963	M1
963-M1	M1
1134-M1	M1
1068-M1	M1
349-M1	M1
895-M1	M1
926	M1
926-M1	M1
1072-M1	M1
259-410	M1
259-410-M1	M1
705	M1
705-M1	M1
1124-M1	M1
735-M1	M1
862-M1	M1
917	M1
917-M1	M1
1075-M1	M1
556-M1	M1
109-M2	M2
1084-M2	M2
2-M3	M3
995-M3	M3
996-M3	M3
1085-M3	M3
1087-M3	M3
1141-M3	M3
1142-M3	M3
510-M4	M4
998-M4	M4
1034-M4	M4
1035	M4
1035-M4	M4
1145-M4	M4
1090-M4	M4
1091-M4	M4
1144-M4	M4
2-M5	M5
932-M5	M5
634-M5	M5
1146-M5	M5
572-M6	M6
968-M6	M6
1036-M6	M6
1037-M6	M6
1038-M6	M6
1092-M6	M6
211-M8	M8
M1-0	P
572	M6
M5-0	M5
M5-1	M5
510	M4
M3-0	M3
626	M1
349	M1
48-328-412	M1
M2-0	M2
M1-7	M1
