node	tissue
GL	P
0	P
0-P	P
235-928	P
235-928-P	P
954	P
954-P	P
1053-P	P
1070	P
1070-P	P
1101-P	P
1038	P
1038-P	P
1102-P	P
1103-P	P
328-432-505-580-750-891	P
328-432-505-580-750-891-P	P
951-1016-P	P
690	P
690-P	P
927	P
927-P	P
998-P	P
953	P
953-P	P
1037-P	P
1073-P	P
1100-P	P
911-P	P
1015	P
1015-P	P
1068	P
1068-P	P
1099-P	P
1034-P	P
1035-P	P
1055-P	P
1104-P	P
245	M1
618	M1
704	M1
704-M1	M1
869	M1
869-M1	M1
1020	M1
1020-M1	M1
1057-M1	M1
1105-M1	M1
956	M1
956-M1	M1
1106-M1	M1
1078-M1	M1
958	M1
958-M1	M1
1079-M1	M1
406-676	M2
730	M2
841	M2
841-M2	M2
987-M2	M2
1082-M2	M2
1083-M2	M2
1085-M2	M2
1109-M2	M2
853	M2
853-M2	M2
1088-M2	M2
1108-M2	M2
897	M2
897-M2	M2
1113-M2	M2
501-556-696-729	M2
501-556-696-729-M2	M2
1089-M2	M2
662-784-939	M2
662-784-939-M2	M2
974-M2	M2
1021	M2
1021-M2	M2
1058-M2	M2
1107-M2	M2
795	M2
795-M2	M2
882	M2
882-M2	M2
1087-M2	M2
1111-M2	M2
1112-M2	M2
294-360-M3	M3
473	M3
473-M3	M3
759	M3
759-M3	M3
1060-M3	M3
1090-M3	M3
883	M3
883-M3	M3
1115-M3	M3
1114-M3	M3
273-282-M4	M4
1116-M4	M4
1118-M4	M4
461-601-M5	M5
1030-M5	M5
1120-M5	M5
829-M6	M6
993-M6	M6
1013-M6	M6
1051	M6
1051-M6	M6
1121-M6	M6
1066	M6
1066-M6	M6
1122-M6	M6
1098-M6	M6
1123-M6	M6
704-M7	M7
1124-M7	M7
0-M8	M8
1110-M10	M10
829	M6
461-601	M5
M4-0	M4
M7-0	M7
294-360	M3
273-282	M2
16-44-107-120	M1
