node	tissue
GL	P
0-3	P
423	P
648	P
648-P	P
1540	P
1540-P	P
1653-P	P
1887-P	P
1722-1856-P	P
379	M2
497-728-1382	M2
497-728-1382-M2	M2
1730-M2	M2
1822-M2	M2
1865-M2	M2
1898-M2	M2
566	M2
566-M2	M2
711-808-906	M2
1109-1360	M2
1109-1360-M2	M2
1892-M2	M2
1897-M2	M2
1302-1428-1453	M2
1821-M2	M2
859-975-1356-1663-1708	M2
859-975-1356-1663-1708-M2	M2
1894-M2	M2
1023	M2
1211	M2
1211-M2	M2
1533	M2
1551	M2
1551-M2	M2
1840	M2
1840-M2	M2
1896-M2	M2
1864-M2	M2
1569	M2
1569-M2	M2
1893-M2	M2
1841-M2	M2
1495-1639-1681-M2	M2
1662	M2
1662-M2	M2
1747-1769-M2	M2
1861-M2	M2
1866-M2	M2
1679	M2
1679-M2	M2
1767-M2	M2
1862	M2
1862-M2	M2
1891-M2	M2
1768-M2	M2
1895-M2	M2
1561	M7
1561-M7	M7
1758-1835-M7	M7
1836-1886-M7	M7
1883-M7	M7
1884-M7	M7
1885-M7	M7
1915-M7	M7
1916-M7	M7
1917-M7	M7
M3-0	M3
M1-0	M1
