node	tissue
GL	P
0-1	P
130	P
286	P
475-552	P
1030-1063-P	P
1121-P	P
520-598	P
869	P
869-P	P
1213-P	P
1214-P	P
871	P
871-P	P
970-990-P	P
347-421	P
347-421-P	P
631-650	P
631-650-P	P
1000-1064-P	P
1022	P
1022-P	P
1217-P	P
1221-P	P
652	P
672-723-P	P
742-771	P
742-771-P	P
1220-P	P
725-756	P
725-756-P	P
1060	P
1060-P	P
1189-P	P
1116-P	P
790-1066-P	P
1056-P	P
1097-P	P
1216-P	P
1218-P	P
515-550	P
515-550-P	P
641	P
818	P
818-P	P
1191-P	P
835	P
835-P	P
1127	P
1127-P	P
1212-P	P
1182-P	P
1190-P	P
915	P
1157-P	P
993	P
993-P	P
1215-P	P
1094-P	P
1153-P	P
1181-P	P
1193-P	P
1219-P	P
96	M1
246	M1
322-715-1033-M1	M1
333-524	M1
333-524-M1	M1
1068	M1
1068-M1	M1
1130-1161-M1	M1
1224-M1	M1
1197-M1	M1
360-523-600-609-712	M1
360-523-600-609-712-M1	M1
1069-M1	M1
442-808-856	M1
442-808-856-M1	M1
1136-M1	M1
1222-M1	M1
1223-M1	M1
558	M2
794-826-949	M2
1168	M2
1168-M1	M1
303-363-587-646-927	M2
303-363-587-646-927-M2	M2
1200-M2	M2
558-M2	M2
612	M2
612-M2	M2
695	M2
695-M2	M2
1009	M2
1009-M2	M2
1226-M2	M2
1199-M2	M2
898-M2	M2
981	M2
981-M2	M2
1077-M2	M2
1225-M2	M2
1037-M2	M2
1229-M2	M2
794-826-949-M2	M2
1168-M2	M2
881-925	M2
881-925-M2	M2
1106-M2	M2
1140-M2	M2
982-1166-M2	M2
1035	M2
1035-M2	M2
1227-M2	M2
1103-M2	M2
1228-M2	M2
417-463-577	M3
417-463-577-M3	M3
719-731-M3	M3
809	M3
809-M3	M3
955-M3	M3
1173-M3	M3
1206-M3	M3
862	M3
862-M3	M3
1231-M3	M3
1232-M3	M3
864	M3
864-M3	M3
1083-M3	M3
1176-M3	M3
1233-M3	M3
1041-M3	M3
575-762	M3
575-762-M3	M3
1011	M3
1011-M3	M3
1172-M3	M3
1230-M3	M3
1040-M3	M3
1144	M3
1144-M3	M3
1201-M3	M3
1145-M3	M3
1202-M3	M3
679-766-931	M3
679-766-931-M3	M3
1234-M3	M3
360-523-600-609-712-M3	M3
246-M4	M4
735-M4	M4
957-M4	M4
435-M4	M4
436-569-1111-M4	M4
704	M4
704-M4	M4
958-M4	M4
599-M5	M5
671-1112-M5	M5
752-798	M5
752-798-M5	M5
939	M5
939-M5	M5
1177-M5	M5
1235-M5	M5
1113-M5	M5
908-1014-M5	M5
1236-M5	M5
333-524-M6	M6
1114-M6	M6
1151-M7	M7
1180-M7	M7
983-1008-M8	M8
915-M9	M9
1239-M9	M9
333-524-M10	M10
M8-1	P
M6-0	M6
599	M5
106-206-226-257	M4
M4-1	M4
M9-0	M9
918	M7
8-176	M3
122-229	M2
81	M1
