node	tissue
GL	P
0-1-2-6	P
10-41	P
498	P
659-784-933	P
1504-1609-1668-P	P
1828-P	P
903-918-1155	P
1347-1384-1421	P
1347-1384-1421-P	P
1759-P	P
1853-P	P
1383	P
1383-P	P
1829-P	P
20-46-86-96	P
322-421-643-972-1055-1110	P
1212-1486-1669	P
1212-1486-1669-P	P
1852-P	P
1328-1645-1761-P	P
476-517	M1
1039	M1
1039-M1	M1
1141-1536	M1
1141-1536-M1	M1
1856-M1	M1
1570-M1	M1
1765	M1
1765-M1	M1
1855-M1	M1
1178-1308-1322-1350	M1
1178-1308-1322-1350-M1	M1
1626	M1
1626-M1	M1
1695-M1	M1
1648	M1
1648-M1	M1
1830	M1
1830-M1	M1
1854-M1	M1
1832-M1	M1
1649-1764	M1
1649-1764-M1	M1
1806-M1	M1
1807-M1	M1
201-432-670-865	M2
1224	M2
1323	M2
1538	M2
1538-M2	M2
1629	M2
1629-M2	M2
1698-M2	M2
1653-1791-M2	M2
1614	M2
1614-M2	M2
1772-M2	M2
1859-M2	M2
1860-M2	M2
1837-M2	M2
1838-M2	M2
1467-1520-M2	M2
1225	M2
1248-1276-1470	M2
1248-1276-1470-M2	M2
1555-1813-M2	M2
1593-M2	M2
1836-M2	M2
1487	M2
1487-M2	M2
1857-M2	M2
1681	M2
1681-M2	M2
1808-M2	M2
1858-M2	M2
217	P
683-1100-1198	M2
683-1100-1198-M2	M2
1743-1790-M2	M2
881-M2	M2
278	P
539-1059-M3	M3
1378	M3
1378-M3	M3
1725-M3	M3
1840-M3	M3
1473	M3
1473-M3	M3
1750-M3	M3
1863-M3	M3
1494	M3
1494-M3	M3
1702	M3
1702-M3	M3
1861-M3	M3
1862-M3	M3
1816-M3	M3
1026-1393-1432	M4
1526	M4
1526-M4	M4
1779-M4	M4
1559	M4
1730-M4	M4
1796-M4	M4
1202	M4
1202-M4	M4
1576	M4
1576-M4	M4
1865-M4	M4
1658	M4
1658-M4	M4
1754	M4
1754-M4	M4
1844-M4	M4
1842-M4	M4
1864-M4	M4
1795-M4	M4
1817-M4	M4
1049	M5
1049-M5	M5
1818-M5	M5
1819-M5	M5
1847	M5
1847-M5	M5
1866-M5	M5
1437	M6
1437-M6	M6
1800-M6	M6
1848	M6
1848-M6	M6
1868-M6	M6
1867-M6	M6
1501	M6
1501-M6	M6
1757-M6	M6
1850-M6	M6
1050-1343	M6
1529-1636	M6
1529-1636-M6	M6
1871-M6	M6
1544	M6
1544-M6	M6
1606-1782	M6
1606-1782-M6	M6
1870-M6	M6
1823-M6	M6
1824-M6	M6
1869-M6	M6
683-1100-1198-M7	M7
1248-1276-1470-M8	M8
1872-M8	M8
659-784-933-M9	M9
1383-M9	M9
1851-M9	M9
539-1059-M10	M10
1776-M10	M10
M10-0	P
M8-0	M8
305-376-776-837	M4
M9-0	M9
800-824-1065	M6
539-1059	M3
403-482	M2
89	M2
