node	tissue
GL	P
0	P
1-130-149-190-235-298	P
435	P
503-755	P
1374	P
1374-P	P
1376	P
1376-P	P
1514-P	P
1532-P	P
448-452	P
1021-1061	P
1021-1061-P	P
1360-P	P
1392-1437-P	P
1418	P
1439	P
1439-P	P
1517-P	P
1531-P	P
1454	P
1454-P	P
1516-P	P
1498-P	P
1081	P
1081-P	P
1534-P	P
1222-1295-1513-P	P
1391	P
1391-P	P
1533-P	P
225-248-331	M1
445-992-1143-1377-M1	M1
245-286-396	M1
588-724-848	M1
1002	M1
1002-M1	M1
1381-1420-1500-M1	M1
1535-M1	M1
1161	M1
1161-M1	M1
1378-M1	M1
1441-M1	M1
1536-M1	M1
696-798-829-918-941	M1
696-798-829-918-941-M1	M1
1519-M1	M1
563-579-714	M2
880-928-1247-1444	M2
880-928-1247-1444-M2	M2
1537-M2	M2
1382-1421-M2	M2
518	M2
930-973-1184-1194	M2
930-973-1184-1194-M2	M2
1398	M2
1398-M2	M2
1505-M2	M2
947	M2
947-M2	M2
1362	M2
1362-M2	M2
1521-M2	M2
1395-1479-M2	M2
1478-1503-M2	M2
1520-M2	M2
491-509-564-M3	M3
948	M3
1347-M3	M3
1401	M3
1401-M3	M3
1424-M3	M3
1446-M3	M3
1089	M3
1089-M3	M3
1538-M3	M3
1120	M3
1120-M3	M3
1199	M3
1199-M3	M3
1403-M3	M3
1274-M3	M3
1484-M3	M3
1325	M3
1325-M3	M3
1425-M3	M3
1348	M3
1348-M3	M3
1539-M3	M3
1015-1252-M4	M4
661-935-1016-M5	M5
1215	M5
1215-M5	M5
1450-M5	M5
1279	M5
1279-M5	M5
1467-M5	M5
1528-M5	M5
1530-M5	M5
1333-M5	M5
1336-M5	M5
1337-M5	M5
1431-M5	M5
1493-M5	M5
1494-1509-M5	M5
1527-M5	M5
1497	M7
1497-M7	M7
1542-M7	M7
661-935-1016-M8	M8
1325-M9	M9
1374-M10	M10
1376-M10	M10
661-935-1016	M5
491-509-564	M3
85-111-216	M1
