node	tissue
GL	P
0-36-48-132	P
300-370-490-517-527	P
300-370-490-517-527-P	P
840-889	P
840-889-P	P
1241-1262-P	P
1317-P	P
1148	P
1148-P	P
1319-P	P
1314-P	P
1321-P	P
1322-P	P
304	P
304-P	P
355-454	P
703	P
887-980-1080-1099-1149	P
887-980-1080-1099-1149-P	P
1288	P
1288-P	P
1320-P	P
906	P
906-P	P
1045-P	P
1222-P	P
1223-P	P
1315-P	P
1316-P	P
1318-P	P
1061-P	P
1168-P	P
876	P
876-P	P
1265-P	P
1285-P	P
1043-P	P
791-P	P
408-482-528	M1
601-622-651-739-821	M1
601-622-651-739-821-M1	M1
910	M1
910-M1	M1
1293-M1	M1
1015	M1
1015-M1	M1
1323-M1	M1
1174	M1
1174-M1	M1
738-913	M1
738-913-M1	M1
998-1049	M1
998-1049-M1	M1
480-571-615	M1
756	M1
834	M1
834-M1	M1
930-999-1028-1127	M1
930-999-1028-1127-M1	M1
1230	M1
1230-M1	M1
1326-M1	M1
1029	M1
1029-M1	M1
1196	M1
1196-M1	M1
1292-M1	M1
1197-M1	M1
1268	M1
1268-M1	M1
1291-M1	M1
1324-M1	M1
778-823	M1
778-823-M1	M1
1173-M1	M1
1325-M1	M1
1327-M1	M1
589	M2
714-1017	M2
714-1017-M2	M2
1202-M2	M2
1330-M2	M2
797	M2
797-M2	M2
1003-1033	M2
1003-1033-M2	M2
1250-1272-M2	M2
1155	M2
1155-M2	M2
1295-M2	M2
1328-M2	M2
646-678-1001	M2
1084-M2	M2
1294	M2
1294-M2	M2
1329-M2	M2
664-682-933-1054-1132-M2	M2
355-454-M3	M3
1334-M3	M3
1174-M4	M4
1196-M4	M4
871	M4
871-M4	M4
977	M4
977-M4	M4
1306-M4	M4
1307	M4
1307-M4	M4
1340-M4	M4
1342-M4	M4
1345-M4	M4
1039	M4
1039-M4	M4
1181	M4
1181-M4	M4
1343-M4	M4
1341-M4	M4
1086	M4
1086-M4	M4
1208-M4	M4
1303-M4	M4
1305-M4	M4
1344-M4	M4
832-M6	M6
991	M6
991-M6	M6
1258-M6	M6
1310-M6	M6
1040-1115-M6	M6
1075-M6	M6
1184-1217-M6	M6
1260	M6
1260-M6	M6
1347-M6	M6
1284-M6	M6
998-1049-M7	M7
300-370-490-517-527-M9	M9
437-450-483-563	M2
832	M6
M3-0	M3
321-326-344-354	M1
