asv_names,sample,group
ASV001,LVM,CP18
ASV001,LVR,CP18
ASV001,PRL,CP18
ASV001,RBL,CP18
ASV002,LVM,CP02
ASV002,LVR,CP02
ASV002,PRL,CP02
ASV002,RBL,CP02
ASV003,LVM,CP01
ASV003,LVR,CP01
ASV003,PRL,CP01
ASV003,RBL,CP01
ASV004,LVM,CP14
ASV004,LVR,CP14
ASV004,PRL,CP14
ASV004,RBL,CP14
ASV005,LVM,CP00
ASV005,LVR,CP00
ASV005,PRL,CP00
ASV005,RBL,CP00
ASV006,LVM,CP13
ASV006,LVR,CP13
ASV006,PRL,CP13
ASV006,RBL,CP13
ASV007,LVM,CP06
ASV007,LVR,CP06
ASV007,PRL,CP06
ASV007,RBL,CP06
ASV008,LVM,CP00
ASV008,LVR,CP00
ASV008,PRL,CP00
ASV008,RBL,CP00
ASV009,LVM,CP13
ASV009,LVR,CP13
ASV009,PRL,CP13
ASV009,RBL,CP13
ASV010,LVM,CP00
ASV010,LVR,CP00
ASV010,PRL,CP00
ASV010,RBL,CP00
ASV011,LVM,CP04
ASV011,LVR,CP04
ASV011,PRL,CP04
ASV011,RBL,CP04
ASV012,LVM,CP11
ASV012,LVR,CP11
ASV012,PRL,CP11
ASV012,RBL,CP11
ASV013,LVM,CP16
ASV013,LVR,CP16
ASV013,PRL,CP16
ASV013,RBL,CP16
ASV014,LVM,CP10
ASV014,LVR,CP10
ASV014,PRL,CP10
ASV014,RBL,CP10
ASV015,LVM,CP01
ASV015,LVR,CP01
ASV015,PRL,CP01
ASV015,RBL,CP01
ASV016,LVM,CP24
ASV016,LVR,CP24
ASV016,PRL,CP24
ASV016,RBL,CP24
ASV017,LVM,CP00
ASV017,LVR,CP00
ASV017,PRL,CP00
ASV017,RBL,CP00
ASV018,LVM,CP01
ASV018,LVR,CP01
ASV018,PRL,CP01
ASV018,RBL,CP01
ASV019,LVM,CP06
ASV019,LVR,CP06
ASV019,PRL,CP06
ASV019,RBL,CP06
ASV020,LVM,CP07
ASV020,LVR,CP07
ASV020,PRL,CP07
ASV020,RBL,CP07
ASV021,LVM,CP21
ASV021,LVR,CP21
ASV021,PRL,CP21
ASV021,RBL,CP21
ASV022,LVM,CP00
ASV022,LVR,CP00
ASV022,PRL,CP00
ASV023,LVM,CP65
ASV023,LVR,CP65
ASV023,PRL,CP65
ASV023,RBL,CP65
ASV024,LVM,CP26
ASV024,LVR,CP26
ASV024,PRL,CP26
ASV024,RBL,CP26
ASV025,LVM,CP00
ASV025,LVR,CP00
ASV025,PRL,CP00
ASV025,RBL,CP00
ASV026,LVM,CP09
ASV026,LVR,CP09
ASV026,PRL,CP09
ASV026,RBL,CP09
