raw_mutation_number	tidetree_replacement
0	0
2	1
8	2
12	3
27	4
30	5
392	6
5	7
59	8
60	9
63	10
33	11
64	12
65	13
66	14
67	15
68	16
69	17
72	18
71	19
75	20
76	21
77	22
6	23
78	24
393	25
80	26
34	27
35	28
86	29
31	30
32	31
62	32
87	33
90	34
50	35
92	36
93	37
4	38
36	39
28	40
95	41
44	42
96	43
13	44
98	45
100	46
101	47
73	48
23	49
61	50
102	51
103	52
104	53
105	54
106	55
107	56
108	57
110	58
111	59
112	60
113	61
114	62
117	63
118	64
119	65
120	66
121	67
123	68
127	69
15	70
131	71
132	72
99	73
135	74
137	75
43	76
394	77
140	78
141	79
142	80
143	81
146	82
148	83
22	84
149	85
395	86
74	87
152	88
155	89
26	90
3	91
157	92
158	93
159	94
109	95
161	96
163	97
116	98
164	99
165	100
166	101
168	102
170	103
169	104
171	105
172	106
173	107
174	108
176	109
181	110
182	111
183	112
186	113
160	114
188	115
189	116
190	117
191	118
193	119
194	120
18	121
195	122
196	123
178	124
197	125
198	126
199	127
124	128
200	129
94	130
203	131
204	132
205	133
206	134
209	135
126	136
184	137
211	138
175	139
58	140
214	141
91	142
145	143
122	144
156	145
216	146
217	147
219	148
220	149
221	150
192	151
37	152
222	153
223	154
51	155
45	156
224	157
187	158
227	159
229	160
40	161
231	162
232	163
49	164
233	165
234	166
236	167
144	168
238	169
240	170
241	171
242	172
244	173
245	174
246	175
247	176
396	177
46	178
252	179
129	180
130	181
397	182
70	183
255	184
167	185
398	186
210	187
83	188
399	189
213	190
88	191
89	192
24	193
52	194
225	195
25	196
257	197
237	198
14	199
84	200
218	201
215	202
133	203
85	204
97	205
147	206
162	207
258	208
260	209
261	210
262	211
239	212
185	213
263	214
264	215
265	216
266	217
400	218
270	219
271	220
272	221
273	222
275	223
401	224
10	225
55	226
9	227
259	228
42	229
277	230
278	231
128	232
53	233
56	234
279	235
280	236
281	237
38	238
284	239
286	240
287	241
288	242
289	243
290	244
134	245
291	246
177	247
292	248
293	249
402	250
295	251
296	252
297	253
403	254
404	255
301	256
54	257
302	258
303	259
57	260
150	261
304	262
1	263
405	264
249	265
306	266
228	267
406	268
310	269
311	270
312	271
313	272
407	273
317	274
7	275
17	276
318	277
408	278
321	279
322	280
212	281
409	282
326	283
327	284
329	285
332	286
410	287
411	288
342	289
412	290
345	291
20	292
346	293
347	294
115	295
348	296
256	297
349	298
351	299
352	300
153	301
354	302
413	303
414	304
81	305
136	306
355	307
338	308
356	309
358	310
415	311
230	312
360	313
361	314
39	315
341	316
41	317
276	318
226	319
359	320
362	321
357	322
363	323
364	324
314	325
416	326
417	327
353	328
285	329
248	330
368	331
369	332
418	333
373	334
323	335
376	336
47	337
125	338
307	339
282	340
378	341
419	342
379	343
267	344
380	345
381	346
382	347
383	348
375	349
328	350
350	351
420	352
386	353
387	354
374	355
388	356
340	357
243	358
389	359
283	360
19	361
331	362
384	363
385	364
390	365
421	366
422	367
391	368
