node,tissue
ASV003,LVM
ASV003,LVR
ASV003,PRL
ASV003,RBL
ASV015,LVM
ASV015,LVR
ASV015,PRL
ASV015,RBL
ASV018,LVM
ASV018,LVR
ASV018,PRL
ASV018,RBL
ASV031,LVM
ASV031,LVR
ASV031,PRL
ASV031,RBL
ASV037,LVM
ASV037,LVR
ASV037,RBL
ASV039,LVM
ASV039,LVR
ASV039,PRL
ASV039,RBL
ASV045,LVM
ASV045,LVR
ASV045,PRL
ASV045,RBL
ASV046,LVM
ASV046,LVR
ASV046,PRL
ASV046,RBL
ASV055,LVM
ASV055,LVR
ASV055,PRL
ASV055,RBL
ASV056,LVM
ASV056,LVR
ASV056,PRL
ASV056,RBL
ASV066,LVM
ASV066,LVR
ASV066,PRL
ASV066,RBL
ASV070,LVM
ASV070,LVR
ASV070,PRL
ASV081,LVM
ASV081,LVR
ASV081,PRL
ASV081,RBL
ASV090,LVM
ASV090,LVR
ASV090,RBL
ASV102,LVM
ASV102,LVR
ASV102,RBL
ASV109,LVM
ASV109,LVR
ASV109,RBL
ASV110,LVR
ASV110,PRL
ASV112,LVM
ASV112,LVR
ASV112,RBL
ASV115,LVM
ASV115,LVR
ASV115,PRL
ASV115,RBL
ASV127,LVM
ASV127,LVR
ASV127,PRL
ASV148,RBL
ASV152,LVM
ASV152,LVR
ASV152,PRL
ASV152,RBL
ASV159,LVM
ASV159,LVR
ASV162,LVM
ASV162,LVR
ASV162,RBL
ASV170,LVM
ASV170,LVR
ASV170,PRL
ASV177,LVR
ASV177,PRL
ASV183,LVM
ASV183,LVR
ASV183,PRL
ASV189,LVM
ASV189,LVR
ASV189,PRL
ASV201,LVR
ASV201,RBL
ASV212,RBL
ASV229,PRL
ASV229,RBL
ASV240,LVM
ASV240,RBL
ASV247,LVR
ASV247,PRL
ASV247,RBL
ASV255,LVM
ASV255,LVR
ASV255,RBL
ASV256,LVM
ASV256,PRL
ASV285,LVM
ASV285,LVR
ASV301,LVM
ASV301,LVR
ASV302,LVR
ASV303,LVR
ASV314,LVR
ASV314,PRL
ASV315,LVM
ASV315,LVR
ASV321,LVM
ASV321,PRL
ASV321,RBL
ASV331,LVR
ASV331,RBL
ASV343,LVR
ASV343,PRL
ASV359,RBL
ASV374,RBL
ASV375,LVR
ASV394,LVR
ASV407,RBL
ASV408,RBL
ASV409,PRL
ASV410,LVM
ASV410,LVR
ASV429,RBL
ASV453,LVM
ASV516,LVM
ASV517,LVM
ASV518,LVM
ASV562,LVR
ASV563,LVM
ASV564,LVM
ASV565,LVM
ASV566,LVM
ASV617,LVM
ASV618,LVM
ASV619,LVM
ASV620,RBL
ASV692,LVM
ASV693,LVM
ASV694,LVM
ASV695,LVM
ASV696,LVR
ASV697,LVR
ASV698,LVM
ASV699,RBL
ASV700,LVR
