	0	5	6
ASV162	0	1	0
ASV090	0	1	0
ASV565	0	1	0
ASV110	0	1	0
ASV109	7	1	0
ASV564	7	1	0
ASV102	9	1	0
ASV618	0	1	0
ASV518	0	1	0
ASV517	0	1	0
ASV148	0	1	0
ASV563	0	1	0
ASV315	0	1	0
ASV037	0	1	0
ASV321	0	1	0
ASV115	0	1	0
ASV055	0	1	0
ASV256	0	1	0
ASV410	0	1	0
ASV343	0	1	0
ASV562	0	1	0
ASV127	0	1	0
ASV617	0	1	0
ASV152	0	1	0
ASV285	0	1	0
ASV159	0	1	0
ASV056	0	1	0
ASV018	0	1	0
ASV066	0	1	0
ASV429	5	0	0
ASV045	0	1	0
ASV695	0	1	0
ASV619	0	1	8
ASV170	0	1	4
ASV003	0	1	0
ASV699	0	1	2
ASV698	0	1	3
ASV694	6	1	8
ASV112	0	1	0
ASV189	0	1	0
ASV039	0	1	0
ASV081	0	1	0
ASV240	0	1	0
ASV302	0	1	0
ASV314	0	1	0
ASV070	0	1	0
ASV183	0	1	0
ASV015	6	1	0
ASV693	0	1	0
ASV408	10	1	0
ASV031	11	1	0
ASV255	11	1	0
ASV301	12	1	0
ASV566	12	1	3
ASV516	0	1	0
ASV046	0	1	0
ASV177	0	1	0
ASV453	13	1	8
ASV692	13	1	0
ASV375	0	1	0
ASV696	7	1	0
ASV394	0	1	0
ASV303	9	1	0
ASV700	0	1	0
ASV229	0	1	0
ASV201	5	1	0
ASV697	0	1	4
ASV407	0	0	0
ASV331	10	1	2
ASV247	0	1	0
ASV359	0	1	0
ASV212	7	1	0
ASV620	7	1	0
ASV409	0	1	0
ASV374	0	1	0
