	0	1	4	5	6
BC10v0	0	0	0	0	0
ASV623	1	0	0	0	0
ASV263	6	0	0	5	0
ASV088	6	0	0	0	0
ASV427	9	0	0	20	12
ASV162	9	0	0	3	0
ASV041	9	0	0	0	0
ASV158	0	0	0	0	0
ASV090	0	0	0	3	0
ASV132	0	0	0	0	0
ASV544	0	0	0	0	0
ASV151	0	0	0	15	0
ASV118	0	0	0	0	0
ASV052	0	0	0	0	0
ASV441	0	0	0	0	0
ASV565	0	0	0	3	0
ASV110	0	0	0	3	0
ASV166	0	0	0	5	0
ASV193	0	0	0	0	0
ASV349	0	0	0	0	0
ASV149	0	0	0	0	0
ASV411	0	4	0	3	0
ASV198	0	4	0	0	0
ASV454	0	4	0	0	8
ASV210	0	0	0	0	0
ASV165	0	0	0	16	17
ASV591	0	0	0	0	0
ASV608	0	0	0	13	14
ASV449	0	0	0	13	0
ASV284	0	0	0	0	0
ASV659	0	0	0	0	0
ASV109	0	0	0	3	0
ASV282	0	0	0	0	0
ASV161	0	0	0	0	0
ASV590	0	0	0	0	0
ASV033	0	0	0	0	0
ASV553	0	0	0	15	0
ASV658	0	0	0	0	0
ASV621	0	0	0	2	0
ASV180	0	0	0	0	0
ASV552	0	0	18	0	0
ASV611	0	0	0	10	0
ASV136	0	0	0	19	0
ASV564	0	0	0	3	0
ASV060	0	0	0	7	0
ASV048	0	0	0	0	0
ASV102	0	0	0	3	0
ASV368	0	0	0	0	0
ASV592	0	0	0	0	0
