node	tissue	leaves	parent_node	parent_tissue	migration_event
0	t1	False			
1	t3	False	0	t1	True
2	t3	False	1	t3	False
3	t2	False	1	t3	True
4	t2	False	3	t2	False
5	t3	False	3	t2	True
6	t3	False	4	t2	True
7	t2	False	4	t2	False
8	t1	False	2	t3	True
9	t3	False	2	t3	False
10	t2	False	9	t3	True
11	t3	True	9	t3	False
12	t3	False	10	t2	True
13	t2	True	10	t2	False
14	t2	True	7	t2	False
15	t2	False	7	t2	False
16	t3	False	12	t3	False
17	t2	False	12	t3	True
18	t3	False	15	t2	True
19	t3	False	15	t2	True
20	t1	False	6	t3	True
21	t3	False	6	t3	False
22	t1	False	8	t1	False
23	t1	False	8	t1	False
24	t1	True	20	t1	False
25	t3	False	20	t1	True
26	t2	False	21	t3	True
27	t3	False	21	t3	False
28	t3	False	5	t3	False
29	t3	True	5	t3	False
30	t3	False	28	t3	False
31	t1	False	28	t3	True
32	t2	True	26	t2	False
33	t3	False	26	t2	True
34	t1	False	27	t3	True
35	t3	False	27	t3	False
36	t2	False	34	t1	True
37	t1	True	34	t1	False
38	t2	False	19	t3	True
39	t3	False	19	t3	False
40	t1	True	31	t1	False
41	t1	True	31	t1	False
42	t2	False	17	t2	False
43	t2	True	17	t2	False
44	t1	True	23	t1	False
45	t1	True	23	t1	False
46	t2	True	36	t2	False
47	t2	True	36	t2	False
48	t3	False	38	t2	True
49	t2	True	38	t2	False
50	t3	True	30	t3	False
51	t3	True	30	t3	False
52	t2	False	42	t2	False
53	t1	False	42	t2	True
54	t3	False	52	t2	True
55	t2	True	52	t2	False
56	t3	True	25	t3	False
57	t3	False	25	t3	False
58	t3	True	18	t3	False
59	t3	False	18	t3	False
60	t3	True	48	t3	False
61	t3	True	48	t3	False
62	t3	True	59	t3	False
63	t1	False	59	t3	True
64	t2	False	16	t3	True
65	t3	True	16	t3	False
66	t1	False	57	t3	True
67	t3	True	57	t3	False
68	t1	True	66	t1	False
69	t1	True	66	t1	False
70	t1	True	22	t1	False
71	t2	False	22	t1	True
72	t2	False	64	t2	False
73	t1	False	64	t2	True
74	t1	True	63	t1	False
75	t1	False	63	t1	False
76	t3	True	39	t3	False
77	t3	True	39	t3	False
78	t1	True	75	t1	False
79	t1	True	75	t1	False
80	t3	True	35	t3	False
81	t1	False	35	t3	True
82	t1	True	53	t1	False
83	t1	True	53	t1	False
84	t3	False	33	t3	False
85	t3	True	33	t3	False
86	t2	True	72	t2	False
87	t2	True	72	t2	False
88	t3	False	71	t2	True
89	t2	True	71	t2	False
90	t3	True	84	t3	False
91	t3	True	84	t3	False
92	t3	True	54	t3	False
93	t3	True	54	t3	False
94	t1	True	73	t1	False
95	t1	True	73	t1	False
96	t3	True	88	t3	False
97	t3	True	88	t3	False
98	t1	True	81	t1	False
99	t1	True	81	t1	False
