node,tissue
ASV001,RBL
ASV001,PRL
ASV001,LVR
ASV001,LVM
ASV002,LVR
ASV002,RBL
ASV002,PRL
ASV002,LVM
ASV003,LVM
ASV003,RBL
ASV003,PRL
ASV003,LVR
ASV004,LVR
ASV004,PRL
ASV004,RBL
ASV004,LVM
ASV005,RBL
ASV005,PRL
ASV005,LVM
ASV005,LVR
ASV006,LVR
ASV006,LVR
ASV006,PRL
ASV006,PRL
ASV006,LVM
ASV006,LVM
ASV006,RBL
ASV006,RBL
ASV007,LVR
ASV007,LVM
ASV007,RBL
ASV007,PRL
ASV008,RBL
ASV008,LVR
ASV008,LVM
ASV008,PRL
ASV009,LVM
ASV009,LVR
ASV009,RBL
ASV009,PRL
ASV010,PRL
ASV010,RBL
ASV010,LVM
ASV010,LVR
ASV011,LVM
ASV011,PRL
ASV011,LVR
ASV011,RBL
ASV012,LVR
ASV012,RBL
ASV012,PRL
ASV012,LVM
ASV013,LVM
ASV013,RBL
ASV013,LVR
ASV013,PRL
ASV014,LVM
ASV014,PRL
ASV014,RBL
ASV014,LVR
ASV015,RBL
ASV015,RBL
ASV015,LVM
ASV015,LVM
ASV015,PRL
ASV015,PRL
ASV015,LVR
ASV015,LVR
ASV016,LVR
ASV016,LVM
ASV016,PRL
ASV016,RBL
ASV017,LVM
ASV017,RBL
ASV017,LVR
ASV017,PRL
ASV018,LVM
ASV018,LVM
ASV018,RBL
ASV018,RBL
ASV018,LVR
ASV018,LVR
ASV018,PRL
ASV018,PRL
ASV019,LVM
ASV019,LVM
ASV019,PRL
ASV019,PRL
ASV019,RBL
ASV019,RBL
ASV019,LVR
ASV019,LVR
ASV020,RBL
ASV020,LVR
ASV020,LVM
ASV020,PRL
ASV021,PRL
ASV021,LVM
ASV021,LVR
ASV021,RBL
ASV022,LVM
ASV022,LVM
ASV022,LVM
ASV022,LVM
ASV022,LVM
ASV022,PRL
ASV022,PRL
ASV022,PRL
ASV022,PRL
ASV022,PRL
ASV022,LVR
ASV022,LVR
ASV022,LVR
ASV022,LVR
ASV022,LVR
ASV023,RBL
ASV023,LVR
ASV023,PRL
ASV023,LVM
ASV024,PRL
ASV024,RBL
ASV024,LVM
ASV024,LVR
ASV025,LVR
ASV025,LVM
ASV025,PRL
ASV025,RBL
ASV026,RBL
ASV026,PRL
ASV026,LVM
ASV026,LVR
ASV027,RBL
ASV027,RBL
ASV027,PRL
ASV027,PRL
ASV027,LVM
ASV027,LVM
ASV027,LVR
ASV027,LVR
ASV028,LVR
ASV028,PRL
ASV028,RBL
ASV028,LVM
ASV029,LVR
ASV029,RBL
ASV029,PRL
ASV029,LVM
ASV030,RBL
ASV030,LVR
ASV030,PRL
ASV030,LVM
ASV031,RBL
ASV031,RBL
ASV031,LVR
ASV031,LVR
ASV031,PRL
ASV031,PRL
ASV031,LVM
ASV031,LVM
ASV032,LVM
ASV032,LVM
ASV032,LVR
ASV032,LVR
ASV032,PRL
ASV032,PRL
ASV033,LVM
ASV033,RBL
ASV034,LVM
ASV034,PRL
ASV034,LVR
ASV034,RBL
ASV035,PRL
ASV035,LVM
ASV035,RBL
ASV035,LVR
ASV036,RBL
ASV036,LVM
ASV036,PRL
ASV036,LVR
ASV037,LVR
ASV037,LVR
ASV037,RBL
ASV037,RBL
ASV037,LVM
ASV037,LVM
ASV038,LVM
ASV038,RBL
ASV038,LVR
ASV038,PRL
ASV039,RBL
ASV039,RBL
ASV039,LVR
ASV039,LVR
ASV039,LVM
ASV039,LVM
ASV039,PRL
ASV039,PRL
ASV040,RBL
ASV040,PRL
ASV040,LVM
ASV040,LVR
ASV041,LVM
ASV041,RBL
ASV041,LVR
ASV042,RBL
ASV042,LVM
ASV042,PRL
ASV042,LVR
ASV043,LVM
ASV043,RBL
ASV043,LVR
ASV043,PRL
ASV044,LVM
ASV044,LVR
ASV044,PRL
ASV044,RBL
ASV045,LVM
ASV045,LVM
ASV045,PRL
ASV045,PRL
ASV045,LVR
ASV045,LVR
ASV045,RBL
ASV045,RBL
ASV046,LVM
ASV046,LVM
