	0	1	2	3	4	5	6	7	8	9
11	16	15	33	43	2	38	44	43	11	23
13	16	23	31	43	38	38	44	26	11	26
14	16	16	0	43	30	38	8	3	28	31
24	16	1	3	43	30	0	27	42	0	31
29	16	25	5	43	0	0	8	11	13	31
32	16	1	3	43	30	1	21	13	14	31
37	16	1	3	43	30	23	0	1	14	31
40	16	25	42	43	0	26	8	11	13	31
41	16	25	37	43	0	13	8	11	13	31
43	16	0	31	43	0	38	44	24	11	0
44	16	42	36	43	0	38	44	0	11	42
45	16	42	36	43	0	38	44	23	11	43
46	16	1	3	43	30	11	6	28	14	31
47	16	1	3	43	30	11	0	0	14	31
49	16	16	25	43	34	38	8	0	0	31
50	16	25	28	43	36	3	8	11	13	31
51	16	25	0	43	14	48	8	11	13	31
55	16	0	31	43	14	38	44	33	11	0
56	16	1	3	43	30	0	11	42	13	31
58	16	16	0	43	0	38	8	33	8	31
60	16	16	0	43	34	38	8	1	0	31
61	16	16	0	43	34	38	8	1	0	31
62	16	16	0	43	31	38	8	33	8	31
65	16	39	31	43	0	38	44	9	11	0
67	16	1	3	43	30	0	0	42	0	31
68	16	1	3	43	30	38	10	42	0	31
69	16	1	3	43	30	0	0	42	0	31
70	16	42	3	43	0	38	44	0	11	27
74	16	16	0	43	14	38	8	33	8	31
76	16	16	0	43	34	38	8	0	23	31
77	16	16	0	43	34	38	8	0	23	31
78	16	16	0	43	0	38	8	33	8	31
79	16	16	22	43	38	38	8	33	8	31
80	16	1	3	43	30	13	0	0	14	31
82	16	0	31	43	17	38	44	0	11	0
83	16	0	31	43	17	38	44	0	11	38
85	16	1	3	43	30	0	42	1	14	31
86	16	39	31	43	0	38	44	0	11	38
87	16	39	31	43	0	38	44	43	11	38
89	16	42	0	43	0	38	44	0	11	27
90	16	1	3	43	30	16	0	1	14	31
91	16	1	3	43	30	0	0	1	14	31
92	16	0	31	43	0	38	44	0	11	0
93	16	0	31	43	0	38	44	0	11	0
94	16	39	31	43	11	38	44	11	11	0
95	16	39	31	43	11	38	44	11	11	0
96	16	42	0	43	0	38	44	0	11	27
97	16	42	0	43	0	38	44	0	11	27
98	16	1	3	43	30	0	0	0	14	31
99	16	1	3	43	30	0	0	0	14	31
