Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	silencingRate	clockRate.c	birthRate	rho	deathRate
0	-1143.3202998714632	-906.1620687669515	-237.1582311045117	-906.1620687669515	54.000000400000005	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.16	0.0	1.0	0.6	1.0	0.01
10000	-118.86708232480724	-75.15311958908855	-43.713962735718695	-75.15311958908855	50.58615545904676	0.16142944416408722	0.2927117033734392	0.08641146669438937	0.06475789610900362	0.06920134089708263	0.261494687913305	0.047221825509074944	0.01677163533961798	0.0	0.027010986190075043	0.3382705362695212	1.0	0.3292982158584919
20000	-123.41279288468756	-77.86482540714307	-45.54796747754449	-77.86482540714307	47.24077976758493	0.03668969471519079	0.2686667102387049	0.3150635572114633	0.10731109325505728	0.18767350822732942	0.07046943143362616	0.009662510279572878	0.004463494639055238	0.0	0.024995226264331986	0.08324155780086326	1.0	0.07165229609586657
30000	-122.58709297265091	-72.75233122438783	-49.83476174826307	-72.75233122438783	47.22905094537896	0.18963937013121474	0.27064287115159297	0.1031725814264017	0.12722749131849964	0.10539940718461255	0.1314389514533647	0.06801583269525846	0.004463494639055238	0.0	0.0227039014822493	0.09212144682685051	1.0	0.0766647341306824
40000	-127.9627199949149	-83.46991108607779	-44.49280890883712	-83.46991108607779	47.47760643484381	0.15695210562297587	0.37111299989806124	0.0520743901074488	0.09473395142358812	0.011622739282078687	0.30313580917209226	0.0059045098546997785	0.004463494639055238	0.0	0.023171214551385152	0.09047420709835258	1.0	0.06868703010319835
50000	-117.46951677785316	-75.91082582638343	-41.55869095146973	-75.91082582638343	40.19217672317742	0.15695210562297587	0.5623475522061909	0.0520743901074488	0.09473395142358812	0.1015849965882197	0.02193899955782158	0.0059045098546997785	0.004463494639055238	0.0	0.026804159803889022	0.19292248169177462	1.0	0.21738910769186928
60000	-119.27564522171168	-77.5652509540447	-41.710394267666985	-77.5652509540447	49.374073277119656	0.08658765955680459	0.6932102319881187	0.02665852816300543	0.03423571770783161	0.1015849965882197	0.02193899955782158	0.03132037179914315	0.004463494639055238	0.0	0.030321102066153998	0.22242276851935133	1.0	0.24634497285470786
70000	-119.42164600638856	-78.66120939650851	-40.76043660988004	-78.66120939650851	48.64458934589183	0.08178624153068341	0.6932102319881187	0.01812279921391817	0.05241121188786545	0.07494785520734099	0.041770514341984366	0.03328765119103369	0.004463494639055238	0.0	0.038757417129446914	0.19363424546020808	1.0	0.14990346182124079
80000	-119.39322551687587	-81.56688796466923	-37.826337552206645	-81.56688796466923	43.54518844516901	0.13806736295514552	0.6932102319881187	0.01812279921391817	0.08082693532845182	0.018666733782878885	0.041770514341984366	0.00487192775044731	0.004463494639055238	0.0	0.032618585098119546	0.17620235765399533	1.0	0.10041660026774422
90000	-117.59230058181484	-78.49764486570967	-39.09465571610516	-78.49764486570967	44.591051995614315	0.06061792766162763	0.6658180603534787	0.01812279921391817	0.06322015140284522	0.06366568934312553	0.041770514341984366	0.00487192775044731	0.08191292993257313	0.0	0.031465254140196255	0.14165805123440608	1.0	0.14755216437287635
