node	tissue
GL	P
0	P
1-4	P
10-11-12-25-33-34-76-79-91	P
76-79-91-P	P
5-6-7-8-M1	M1
14-15-16	M1
16-M1	M1
13-23-41-53-71-M2	M2
18-60-65-M2	M2
68-M2	M2
29-38-43-47-57-63-70-78-83-84-87-M3	M3
102-M3	M3
113-M4	M4
17-20-42-45-51-55-69-72-74-77-85-M4	M4
24-31-46-49-50-56-62-67-M5	M5
22-26-54-64-66-88-M5	M5
35-36-37-39-58-61-81-86-95-M6	M6
100	M6
100-M6	M6
109-M6	M6
28-44-48-75-82-104-111-M7	M7
119-M7	M7
28-44-48-75-82-104-111	M7
35-36-37-39-58-61-81-86-95	M6
29-38-43-47-57-63-70-78-83-84-87	M3
18-60-65	M2
M3-1	M3
5-6-7-8	M1
