node	tissue
GL	P
0	P
0-P	P
1	P
2	P
33-34-37-45-53-55-56-57	M1
61	M1
62	M1
92-P	P
90-P	P
4-16-20-36-38-59-73-77-86-95-96	P
59-73-77-86-95-96-P	P
105-P	P
22-24	M1
98-106-M1	M1
5	P
67-68-M2	M2
6-8-13-15-19-39-50-54-M2	M2
87-M3	M3
91-M3	M3
32-35-41-47-49-51-75-M4	M4
88-M4	M4
63-64-M5	M5
89-M5	M5
26-52-84-85-108-112-114-M6	M6
116-M6	M6
130-M6	M6
110-115-M7	M7
65-80-93-124-M8	M8
127-M8	M8
65-80-93-124	M8
26-52-84-85-108-112-114	M6
58-63-64	M5
32-35-41-47-49-51-75	M4
6-8-13-15-19-39-50-54	M2
10-12-27-28-31-42-44-46-48-60-87	M3
3-17-18	M1
