#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="FixedTreeModel.t:tree" spec="fixedtreeanalysis.evolution.tree.FixedTreeDistribution">
#            <tree IsLabelledNewick="true" adjustTipHeights="false" id="Tree.t:tree" newick="(cell0-P:1,(cell10-12-19-21-25-32-34-40-45-57-58-63-64-72-M5:1,(cell70-M4:1,cell75-M4:1,cell77-78-M4:1):1,(cell8-14-M1:1,cell15-M1:1,cell31-33-37-M3:1):1):1,(cell61-62-P:1,(cell94-P:1,cell95-P:1):1,cell86-M7:1):1,(cell22-M2:1,cell23-M2:1,cell36-42-M6:1):1,(cell79-M5:1,cell83-M5:1):1):1" spec="fixedtreeanalysis.evolution.tree.FixedTree">
#                <taxonset id="TaxonSet.1" spec="beast.base.evolution.alignment.TaxonSet">
#                    <taxon id="cell0-P" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell10-12-19-21-25-32-34-40-45-57-58-63-64-72-M5" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell70-M4" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell75-M4" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell77-78-M4" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell8-14-M1" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell15-M1" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell31-33-37-M3" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell61-62-P" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell94-P" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell95-P" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell86-M7" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell22-M2" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell23-M2" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell36-42-M6" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell79-M5" spec="beast.base.evolution.alignment.Taxon"/>
#                    <taxon id="cell83-M5" spec="beast.base.evolution.alignment.Taxon"/>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="nonZeroRatePrior.s:tissue" name="distribution">
#            <x id="nonZeroRates.s:tissue" spec="beast.base.evolution.Sum">
#                <arg dimension="36" id="rateIndicator.s:tissue" spec="beast.base.inference.parameter.BooleanParameter">true</arg>
#            </x>
#            <distr id="Poisson.0" offset="2.0" spec="beast.base.inference.distribution.Poisson">
#                <parameter estimate="false" id="RealParameter.10" name="lambda" spec="beast.base.inference.parameter.RealParameter">0.693</parameter>
#            </distr>
#        </prior>
#        <prior id="relativeGeoRatesPrior.s:tissue" name="distribution">
#            <parameter dimension="36" id="relativeGeoRates.s:tissue" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="geoclockPrior.c:tissue" name="distribution">
#            <parameter id="traitClockRate.c:tissue" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sim1_true" id="treeLikelihood.sim1_true" spec="fixedtreeanalysis.evolution.likelihood.FixedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel id="FixedSiteModel.s:sim1_true" spec="fixedtreeanalysis.evolution.sitemodel.FixedSiteModel">
#                <parameter estimate="false" id="RealParameter.0" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="shape" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter.2" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="0.0">0.0</parameter>
#                <substModel id="JC69.s:sim1_true" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="FixedClock.c:sim1_true" spec="fixedtreeanalysis.evolution.branchratemodel.FixedClockModel">
#                <parameter estimate="false" id="RealParameter.3" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution id="traitedtreeLikelihood.tissue" spec="beastclassic.evolution.likelihood.AncestralStateTreeLikelihood" tag="location" tree="@Tree.t:tree">
#            <rootFrequencies estimate="false" id="Frequencies" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                <parameter dimension="9" id="RealParameter" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0</parameter>
#            </rootFrequencies>
#            <data id="tissue" spec="beastclassic.evolution.alignment.AlignmentFromTrait">
#                <traitSet id="traitSet.tissue" spec="beast.base.evolution.tree.TraitSet" taxa="@TaxonSet.1" traitname="discrete" value="cell0-P=P, cell10-12-19-21-25-32-34-40-45-57-58-63-64-72-M5=M5, cell70-M4=M4, cell75-M4=M4, cell77-78-M4=M4, cell8-14-M1=M1, cell15-M1=M1, cell31-33-37-M3=M3, cell61-62-P=P, cell94-P=P, cell95-P=P, cell86-M7=M7, cell22-M2=M2, cell23-M2=M2, cell36-42-M6=M6, cell79-M5=M5, cell83-M5=M5 "/>
#                <userDataType codeMap="P=0,M1=1,M2=2,M3=3,M4=4,M5=5,M6=6,M7=7,M8=8,? = 0 1 2 3 4 5 6 7 8" codelength="-1" id="traitDataType.tissue" spec="beast.base.evolution.datatype.UserDataType" states="9"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:tissue" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:tissue" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:tissue" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:tissue" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:tissue" rateIndicator="@rateIndicator.s:tissue" rates="@relativeGeoRates.s:tissue" spec="beastclassic.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:tissue" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="9" id="traitfrequencies.s:tissue" name="frequencies" spec="beast.base.inference.parameter.RealParameter">0.11111111111</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:tissue" id="StrictClockModel.c:tissue" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	rateIndicator.1	rateIndicator.2	rateIndicator.3	rateIndicator.4	rateIndicator.5	rateIndicator.6	rateIndicator.7	rateIndicator.8	rateIndicator.9	rateIndicator.10	rateIndicator.11	rateIndicator.12	rateIndicator.13	rateIndicator.14	rateIndicator.15	rateIndicator.16	rateIndicator.17	rateIndicator.18	rateIndicator.19	rateIndicator.20	rateIndicator.21	rateIndicator.22	rateIndicator.23	rateIndicator.24	rateIndicator.25	rateIndicator.26	rateIndicator.27	rateIndicator.28	rateIndicator.29	rateIndicator.30	rateIndicator.31	rateIndicator.32	rateIndicator.33	rateIndicator.34	rateIndicator.35	rateIndicator.36	relativeGeoRates.1	relativeGeoRates.2	relativeGeoRates.3	relativeGeoRates.4	relativeGeoRates.5	relativeGeoRates.6	relativeGeoRates.7	relativeGeoRates.8	relativeGeoRates.9	relativeGeoRates.10	relativeGeoRates.11	relativeGeoRates.12	relativeGeoRates.13	relativeGeoRates.14	relativeGeoRates.15	relativeGeoRates.16	relativeGeoRates.17	relativeGeoRates.18	relativeGeoRates.19	relativeGeoRates.20	relativeGeoRates.21	relativeGeoRates.22	relativeGeoRates.23	relativeGeoRates.24	relativeGeoRates.25	relativeGeoRates.26	relativeGeoRates.27	relativeGeoRates.28	relativeGeoRates.29	relativeGeoRates.30	relativeGeoRates.31	relativeGeoRates.32	relativeGeoRates.33	relativeGeoRates.34	relativeGeoRates.35	relativeGeoRates.36	traitClockRate	geoSubstModelLogger.relGeoRate_P_M1	geoSubstModelLogger.relGeoRate_P_M2	geoSubstModelLogger.relGeoRate_P_M3	geoSubstModelLogger.relGeoRate_P_M4	geoSubstModelLogger.relGeoRate_P_M5	geoSubstModelLogger.relGeoRate_P_M6	geoSubstModelLogger.relGeoRate_P_M7	geoSubstModelLogger.relGeoRate_P_M8	geoSubstModelLogger.relGeoRate_M1_M2	geoSubstModelLogger.relGeoRate_M1_M3	geoSubstModelLogger.relGeoRate_M1_M4	geoSubstModelLogger.relGeoRate_M1_M5	geoSubstModelLogger.relGeoRate_M1_M6	geoSubstModelLogger.relGeoRate_M1_M7	geoSubstModelLogger.relGeoRate_M1_M8	geoSubstModelLogger.relGeoRate_M2_M3	geoSubstModelLogger.relGeoRate_M2_M4	geoSubstModelLogger.relGeoRate_M2_M5	geoSubstModelLogger.relGeoRate_M2_M6	geoSubstModelLogger.relGeoRate_M2_M7	geoSubstModelLogger.relGeoRate_M2_M8	geoSubstModelLogger.relGeoRate_M3_M4	geoSubstModelLogger.relGeoRate_M3_M5	geoSubstModelLogger.relGeoRate_M3_M6	geoSubstModelLogger.relGeoRate_M3_M7	geoSubstModelLogger.relGeoRate_M3_M8	geoSubstModelLogger.relGeoRate_M4_M5	geoSubstModelLogger.relGeoRate_M4_M6	geoSubstModelLogger.relGeoRate_M4_M7	geoSubstModelLogger.relGeoRate_M4_M8	geoSubstModelLogger.relGeoRate_M5_M6	geoSubstModelLogger.relGeoRate_M5_M7	geoSubstModelLogger.relGeoRate_M5_M8	geoSubstModelLogger.relGeoRate_M6_M7	geoSubstModelLogger.relGeoRate_M6_M8	geoSubstModelLogger.relGeoRate_M7_M8
0	-173.1308460968116	-32.36635820542355	-140.76448789138806	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1000	-83.11053821297108	-31.41863721509216	-51.69190099787892	0.0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.0535434088681699	1.1606486501454176	1.0655074354790322	0.9558663924473229	1.1018693757722104	0.9256493754335505	0.9433005916884565	1.1671797047977928	0.9317557207818907	1.0715803997667788	0.9847088974799537	1.0200831943607203	0.9399974837209704	1.1406023407067964	1.1882031723868558	1.1933903147001252	1.0354940466845948	1.0819112200253633	0.9072224278049209	1.198212982617583	1.1441035906735861	0.847035789400162	0.9800163207391498	0.8679622550908608	0.9890016409856146	0.9866580679424691	0.9876231622154172	0.8838111911602075	0.9837280527030691	0.912043715464969	1.1681037369118907	1.03361051009828	0.9672168035515919	0.8788617231690499	0.9199637033899621	0.8592264380777039	2.68131506625552	0.0	0.0	0.0	0.9558663924473229	1.1018693757722104	0.0	0.0	0.0	0.9317557207818907	1.0715803997667788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072224278049209	1.198212982617583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1681037369118907	0.0	0.0	0.0	0.0	0.0
2000	-81.62211070907784	-30.44236292792117	-51.17974778115667	0.0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1.0907258594220244	1.0783077155701455	0.9964424798790537	0.8569484949560802	1.0246752950230535	0.8627256709571312	0.9907430031271817	1.0277358346560819	0.8427929893272221	1.104476875825107	0.9378412832346456	1.0621144284503525	0.930192527083816	1.1302168739025098	1.146257959228076	1.1940152573895217	1.207232070769865	1.2139176451705505	0.9503505959033771	1.2280353344467174	1.1543969668987315	0.7490493599977497	0.882507710630956	0.8258787217216571	0.95702536834214	1.142643432011923	1.0209327233103005	0.9112685703947174	1.1437175410213798	1.0169234874014657	1.2679375687599728	0.8716215579601083	0.9684563042475777	0.8543301452727109	0.7982697793629489	0.8799444586511154	1.8769419128838347	0.0	0.0	0.0	0.8569484949560802	1.0246752950230535	0.0	0.0	0.0	0.0	1.104476875825107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2139176451705505	0.0	1.2280353344467174	0.0	0.0	0.0	0.8258787217216571	0.0	0.0	0.0	0.0	0.0	0.0	1.2679375687599728	0.0	0.0	0.0	0.0	0.0
3000	-79.51742845381756	-29.753237110061708	-49.76419134375585	0.0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1.0694078197536045	1.3234760312319045	0.9910941210281036	0.8511576023416682	1.0255986250254092	0.7882943770420328	0.9872329691444821	0.9742781325756505	0.8395887549290181	1.0649042173013523	0.8758837776846538	1.0706613027229135	1.075358150522158	1.17496768639703	1.1635943027021733	1.212075960136635	1.2640205390011776	1.1996547036221703	0.9390462221695627	1.1477922455924865	1.2341644247683412	0.6656380343941343	0.9865549451440673	0.8682620207439862	0.8559524464045388	1.2586314998325248	0.889725431072709	0.9162957311276559	1.1100986721820727	1.049053619075832	0.9160883355846412	0.8015582313639752	1.0489882435925078	0.9211981649304599	0.7155324952709825	0.7554617593628331	0.6087119227099159	0.0	1.3234760312319045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0649042173013523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1996547036221703	0.9390462221695627	0.0	0.0	0.0	0.0	0.8682620207439862	0.0	0.0	0.0	0.9162957311276559	0.0	0.0	0.0	0.0	0.0	0.9211981649304599	0.0	0.0
4000	-77.85583465181301	-27.68991065962746	-50.165923992185554	0.0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.9904551437266128	1.5156110341531408	1.0464806940364062	0.9135375905355546	1.1778915470484448	0.9112860407852563	0.900605432754986	0.9444317282036488	0.705271406857362	1.2297590729765961	0.7938939249580914	1.0696410005161305	1.0450228969992097	0.9411645285729372	1.2564852011423977	1.046375138593778	1.4399831182696146	1.2044281318879797	1.0088292445839748	0.986642250558462	1.2537809884466737	0.6924501344449366	1.0875560711374954	1.0069761576590257	0.7032937375720608	0.9498760352239024	0.9496666047604818	0.8082875598448802	1.1857148122259833	1.124702918586123	0.8808842358325514	0.6400252731535412	0.894697175245621	0.952253048583206	0.71180089416872	0.6740438990430925	1.3402647098530753	0.0	1.5156110341531408	0.0	0.0	1.1778915470484448	0.0	0.0	0.0	0.0	1.2297590729765961	0.7938939249580914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0088292445839748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9496666047604818	0.0	0.0	0.0	0.0	0.0	0.0	0.952253048583206	0.0	0.0
5000	-78.24817714317291	-27.893661393512883	-50.35451574966003	0.0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1.0431501307824351	1.4544412250796628	0.9766976779893451	0.8014929127747435	1.1658683937710599	0.7897370046728025	0.7622597298786037	0.8417824842143409	0.6752787906152475	1.215722837778478	0.726484590637797	1.1055229897599532	1.0888836396855863	0.8799948429381159	1.1240123713913763	1.2626820470765658	1.3912335900544757	1.3238995245626899	1.0959362659892993	0.9562326900785691	1.3212994346557885	0.8596047675781922	1.074226395232183	0.9777058674827435	0.7914579902358566	1.1284712281294895	1.0250263915085012	1.0179216919534677	1.1537691495940403	1.1633395738904502	0.9485942095417744	0.6512865537562051	0.8343758050226144	0.872223095809122	0.7933049014909835	0.8192235294857675	1.0122408816037556	0.0	1.4544412250796628	0.0	0.0	1.1658683937710599	0.7897370046728025	0.0	0.0	0.0	1.215722837778478	0.726484590637797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0250263915085012	0.0	0.0	0.0	0.0	0.0	0.0	0.872223095809122	0.0	0.0
6000	-79.79725411136855	-29.682985768380185	-50.11426834298837	0.0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1.1447111920870365	1.2503152171255894	0.8991610516284645	0.7245715898122325	1.1362247068857119	0.8583329065821251	0.6384688905630301	0.6909395456363712	0.7017155682254003	1.283961623930726	0.7247102230182666	0.9097391047029334	0.9922022490404261	0.981397407903164	1.1015835248725407	1.5224133580368595	1.1129467735898442	1.6102151926639006	1.0880971129244768	0.931632512887742	1.1562001289182915	1.0986790429783615	1.015422873332703	0.9574935193470201	0.8579577318651331	1.1194821986685424	0.9717561954266152	1.0301368740099157	1.156688504097324	1.5616138040312353	1.2072391443523716	0.797869312607465	0.7439400523063979	0.9282496658414668	0.7486806293708282	0.7175876155964734	0.614236592056652	0.0	1.2503152171255894	0.0	0.0	0.0	0.8583329065821251	0.0	0.0	0.0	1.283961623930726	0.7247102230182666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.931632512887742	0.0	0.0	0.0	0.0	0.0	0.0	0.9717561954266152	1.0301368740099157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7000	-80.8178856312892	-28.971099905721886	-51.846785725567315	0.0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1.179535507959907	1.1816060147381269	1.0444888418140064	0.9333789627082733	1.1346265407267553	0.9549226085638802	0.6210613655593797	0.7333521116980164	0.8424403402725205	1.3178994891993256	0.7037867383236598	0.9491651213670412	1.005090104097642	1.0392763354683692	1.0089340350230878	1.3042869721313362	1.3424392103901475	1.5659973201783624	1.2087740925225816	0.962069769621012	1.1998258747821453	0.9397241970208171	0.9450293766710137	0.978733064235579	1.051794051663896	1.0369762486940803	1.0258835302713372	1.1128586464945545	0.991124043906313	1.630070952071827	1.1423515591239206	1.0083394337499547	0.8398512617011464	0.9803070015886738	0.6122887668713785	0.6677708415585613	1.5241210865321864	0.0	1.1816060147381269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3178994891993256	0.7037867383236598	0.0	0.0	0.0	0.0	0.0	0.0	1.5659973201783624	0.0	0.962069769621012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.991124043906313	0.0	1.1423515591239206	0.0	0.0	0.0	0.0	0.0
8000	-81.32350099137716	-29.511470612127127	-51.81203037925003	0.0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1.2104036577224997	1.062351761129277	1.1574287135491594	0.9399449139696776	1.0365657532861217	0.903844914652878	0.6134598575007197	0.7516779630999785	0.9934767902009448	1.2215927746423745	0.7663463033105641	1.1407816594094242	0.9553979452716668	0.9945851984731854	1.1033917707569902	1.487570320484693	1.2880965747771609	1.917605739142246	1.1792149731201929	0.7939107527118843	1.1178317675536027	0.8581429775632355	1.0615407327983606	0.9330375013961896	1.0680794900941313	0.9212097282329206	1.0816190086888127	1.0356852964503773	1.0114041313512359	1.6071038142658611	1.0721780552517184	1.0884690308201677	0.8496376173792481	1.0857260776146016	0.5509602504097986	0.658157698363937	1.0665103494541528	0.0	0.0	0.0	0.0	1.0365657532861217	0.903844914652878	0.0	0.0	0.0	1.2215927746423745	0.0	0.0	0.0	0.0	0.0	0.0	1.2880965747771609	0.0	1.1792149731201929	0.0	0.0	0.0	1.0615407327983606	0.0	1.0680794900941313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9000	-84.85103913983437	-31.53625122836514	-53.31478791146924	0.0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1.326483374514588	1.1323895598420826	1.058905474059618	0.9549463001382421	0.9616994997621809	1.083438491992116	0.7022640465314843	0.7931864639306628	1.1579514548216907	1.0532380305650517	0.7689975424967044	1.1974033327516351	0.9316661479214546	0.9275470675215736	1.3120013305118556	1.4333707311509238	1.1964373502071477	1.7837368514622325	1.2048683961182831	0.7151199599210926	1.009009394194711	0.7890605091369782	0.8745659003709815	1.0007444308080777	1.2177839488263895	0.8732684922192694	1.1856266216724929	0.9441601999259902	1.0319642876932245	1.4285637048241027	1.1988080676216002	1.1871805995993285	0.9016051504234799	1.0432532605493552	0.6017191304051499	0.6183589239072232	4.403229326424665	0.0	0.0	0.0	0.0	0.9616994997621809	1.083438491992116	0.0	0.0	0.0	1.0532380305650517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2048683961182831	0.7151199599210926	0.0	0.0	0.0	0.0	1.2177839488263895	0.0	0.0	0.0	1.0319642876932245	0.0	0.0	0.0	0.0	0.0	0.0	0.0
