node	tissue
GL	P
0	P
0-P	P
5-7-9-13-21-25-29-31	P
13-21-25-29-31-P	P
38-62-67-76-78	P
76-78-P	P
81-P	P
10-14-16-24-26-27-30-33-34-39-42-48-52-56-58	P
10-14-16-24-26-27-30-33-34-39-42-48-52-56-58-P	P
8-M1	M1
15	M1
15-M1	M1
22-M1	M1
3-6-28-32-M2	M2
1-4-12-35-37-51-59-M3	M3
64-66-M3	M3
71-M3	M3
2-11-36-41-73-74-M4	M4
90-M4	M4
95-M4	M4
40	P
77	M5
77-M5	M5
85-M5	M5
86-M5	M5
88-M5	M5
55-61-63-M6	M6
98-M7	M7
99-103-M7	M7
89-M8	M8
104-M8	M8
89	M8
68-93	M7
49-60	M5
2-11-36-41-73-74	M4
1-4-12-35-37-51-59	M3
8	M1
