model,rep,marginal_likelihood
no_reseeding,3,-656.7368666169889
one_rate_reseeding,9,-585.5859812654309
one_rate_reseeding,1,-583.8700823678523
one_rate_reseeding,5,-574.7874567638742
one_rate_reseeding,4,-583.9798278899488
no_reseeding,7,-671.8600639382464
one_rate_reseeding,2,-597.9449020749652
one_rate_reseeding,10,-576.8014953244549
no_reseeding,8,-640.5063530017666
no_reseeding,9,-637.2536361394075
no_reseeding,5,-641.2657350099212
one_rate_reseeding,8,-582.5612503575035
no_reseeding,4,-638.8645267525794
one_rate_reseeding,7,-572.6998584774853
no_reseeding,1,-640.3203529564148
no_reseeding,6,-661.8102945695795
one_rate_reseeding,3,-587.4818238594198
no_reseeding,2,-653.1589778664297
no_reseeding,10,-643.9746625192554
one_rate_reseeding,6,-565.8520608902006
