	0	1	2	3	4	5	6	7	8	9
5813489	28	9	46	40	76	86	57	53	63	23
5704062	0	0	87	46	46	97	14	47	86	39
5595504	75	47	44	-1	18	97	31	56	39	47
5952827	18	71	10	95	90	83	64	28	0	99
5955467	9	49	92	82	9	99	21	5	53	49
5957016	9	37	66	0	57	0	66	23	46	90
5958489	18	13	71	28	61	14	99	82	23	9
5957939	18	0	10	0	28	14	0	56	92	62
5935224	44	-1	70	71	38	72	8	56	67	0
5946248	44	-1	70	71	44	-1	5	29	78	51
5934516	44	-1	70	95	79	0	90	99	94	0
5945236	18	39	10	49	66	14	71	44	-1	44
5946946	18	52	80	0	27	14	23	10	5	94
6007249	44	-1	70	31	27	28	12	16	0	70
5992146	44	-1	70	31	27	28	12	16	0	0
5520684	44	-1	70	31	27	28	12	16	0	0
5970188	44	-1	70	31	27	28	12	16	15	28
6004944	44	-1	70	31	27	28	12	16	19	0
5994950	44	-1	70	31	27	28	12	16	0	0
5993528	44	-1	70	31	27	28	12	16	0	44
5992560	44	-1	70	31	27	28	12	16	10	5
6005942	44	-1	70	31	27	28	12	16	0	20
5256191	44	-1	70	31	27	28	12	16	31	0
6001620	44	-1	70	31	27	28	12	16	0	59
5987272	44	-1	70	31	27	28	12	16	91	0
5856526	44	-1	70	31	27	28	12	16	10	56
5569635	44	-1	70	31	27	28	12	16	0	0
5846700	44	-1	70	31	27	28	12	16	10	0
5798311	44	-1	70	31	27	28	12	16	0	0
6069322	44	-1	70	31	27	28	12	16	0	0
6069390	44	-1	70	31	27	28	12	16	0	0
5933097	44	-1	70	31	27	28	12	16	25	0
6072912	44	-1	70	31	27	28	12	16	0	0
6065210	44	-1	70	31	27	28	12	16	72	0
5926503	44	-1	70	31	27	28	12	16	0	0
5655199	44	-1	70	31	27	28	12	16	10	0
5895899	44	-1	70	31	27	28	12	16	10	10
5647180	44	-1	70	31	27	28	12	16	10	0
5664042	44	-1	70	31	27	28	12	16	10	0
6038213	44	-1	70	31	27	28	12	16	10	9
5883552	44	-1	70	31	27	28	12	16	10	0
6019003	44	-1	70	31	27	28	12	16	10	0
5889330	44	-1	70	31	27	28	12	16	10	0
6051441	44	-1	70	31	27	28	12	16	10	0
6019718	44	-1	70	31	27	28	12	16	10	0
6020087	44	-1	70	31	27	28	12	16	10	0
6058666	44	-1	70	31	27	28	12	16	10	28
5670549	44	-1	70	31	27	28	12	16	10	0
6053493	44	-1	70	31	27	28	12	16	10	0
6053281	44	-1	70	31	27	28	12	16	10	90
