cell	clone
5256191	33
5520684	3/6/7/10/12/18/22/27/28
5569635	39/42/44/48/54
5595504	0
5647180	34/37/46/49
5655199	50
5664042	50
5670549	50
5704062	0
5798311	40
5813489	0
5846700	30
5856526	30
5883552	34/37/46/49
5889330	34/37/46/49
5895899	50
5926503	40
5933097	39/42/44/48
5934516	0/2
5935224	0/2
5945236	1
5946248	2
5946946	1
5952827	1
5955467	0
5957016	0
5957939	1
5958489	1
5970188	3/6/7/10/12/18/22/27/28
5987272	33
5992146	30
5992560	30
5993528	29/32
5994950	29/32
6001620	33
6004944	3/6/7/10/12/18/22/27/28
6005942	3/6/7/10/12/18/22/27/28
6007249	29
6019003	34/37/46/49
6019718	34/37/46/49
6020087	34/37/46/49
6038213	50
6051441	50
6053281	50
6053493	50
6058666	50
6065210	40
6069322	40
6069390	40
6072912	39/42/44/48
