cell	clone
16153766	5/10/11/14/15/22/31
16206618	25/32/33
16227527	1/2
16266276	20
16376093	0
16398244	20/25
16531724	0
16553581	20/25
16585168	26
16589013	6/8/13/28/42/47
16595633	42
16617229	69
16625062	52/53/54/62/67
16633115	25/32/33/41/43
16634879	25/32/33/40
16641627	41
16653070	25/32/33
16660390	0
16661098	0
16671110	0
16672122	0
16672820	0
16678701	0
16681341	0
16682890	0
16683813	0
16684363	0
16696062	3/4/7/9/12
16713146	16/17
16718020	5/10/11/14/15/22/27
16718434	5/10/11/14/15/22
16719402	27
16720824	5/10/11/14/15/22
16727494	26
16730818	5/10/11/14/15/22
16731816	31
16733123	5/10/11/14/15/22
16744877	6/8/13/28
16745592	42/47
16745961	42/47
16764087	6/8/13/28
16779155	52/53/54/62/67
16779367	69
16784540	70
16795196	25/32/33/40
16795264	25/32/33/40
16798786	41/50
16811710	50
16813120	40
16816098	40
