	0	1	2	3	4	5	6	7	8	9
8822687	94	0	68	71	99	97	6	55	69	1
8250455	67	51	97	51	82	54	6	55	91	74
8833680	44	98	90	0	94	75	47	71	69	6
8832757	0	0	47	29	96	16	47	55	57	65
8821989	43	0	0	41	35	65	57	55	40	83
8708828	54	29	91	16	47	0	94	43	40	46
8820977	54	29	91	16	47	0	0	43	40	46
8736971	24	92	65	0	94	0	46	23	69	43
8810965	0	1	16	31	47	84	94	55	93	68
8828568	0	93	37	2	94	54	0	55	75	51
8881685	96	43	0	70	100	52	5	55	40	27
8738732	85	94	17	0	0	5	16	65	92	0
8770371	47	83	94	0	0	68	0	69	68	56
8912506	6	92	65	0	0	0	46	23	69	43
8913954	6	92	65	0	0	0	46	23	69	43
8831208	68	16	0	72	46	69	16	0	37	95
8702155	4	90	29	0	0	91	27	67	29	75
8716864	97	86	82	28	47	37	97	72	84	17
8810257	100	28	0	11	65	28	29	29	97	73
8660261	47	16	94	68	29	96	68	69	68	6
8888686	47	17	94	54	0	68	0	69	68	0
8788447	47	0	94	0	40	0	16	69	68	0
8788634	47	64	94	57	0	0	0	69	68	77
8797870	6	92	65	40	0	0	46	23	69	43
8350163	6	92	65	0	32	0	46	23	69	43
8460168	6	92	65	0	43	0	46	23	69	43
8877363	96	10	0	7	100	52	5	55	40	53
8870693	96	78	0	65	100	52	5	55	40	65
8882992	96	85	38	94	100	52	5	55	40	11
8868303	17	0	83	72	57	96	16	0	6	16
8730768	17	67	53	77	0	17	100	96	60	44
8927182	51	35	53	36	0	46	96	96	60	44
8784480	47	0	94	6	75	71	17	69	68	60
8900332	47	0	94	0	84	84	17	69	68	41
8751176	96	17	94	38	100	52	5	55	40	0
8863015	96	29	44	0	100	52	5	55	40	0
8651283	17	0	83	72	57	68	16	29	70	16
8869271	17	49	83	72	57	40	16	0	28	16
8864603	17	6	83	72	57	75	16	0	0	16
8848533	0	70	53	0	90	0	61	96	60	44
8500118	2	82	53	84	75	0	100	96	60	44
8666913	47	70	94	0	33	0	75	69	68	100
8895828	47	39	94	72	40	3	0	69	68	0
8895459	47	96	94	29	0	75	69	69	68	65
8867889	96	36	85	8	100	52	5	55	40	87
8880687	96	0	0	0	100	52	5	55	40	75
8646551	17	6	83	72	57	34	16	54	0	16
8860483	17	0	83	72	57	89	16	53	33	16
8894744	47	0	94	0	0	25	0	69	68	0
8894749	47	85	94	0	0	0	0	69	68	0
