cell	clone
5693459	3/4/8/10/13
5729094	0
5734821	0/2
5772884	6/7/27/35/36
5798705	6/7/27/35/36
5801468	3/4/8/10/13
5819450	3/4/8/10/13
5849174	5/17
5899448	42
5908539	6/7/27/35/36
5938667	3/4/8/10/13
5942164	3/4/8/10/13
5980583	0/1
5986085	1
5990376	2
6010152	6/7/27/35/36
6016280	6/7/27/35/36
6018846	6/7/27/35/36
6022839	6/7/27/35/36
6024166	42
6042595	6/7/27/35/36
6058944	18
6081439	5/17
6090867	20/22/25/32
6106554	0
6117502	0
6119338	1
6120275	0
6122812	2
6123512	0
6124768	0
6125365	0
6135777	6/7/27/35/36
6143092	6/7/27/35/36
6145886	42
6149132	39
6154866	6/7/27/35/36
6161974	42
6166295	6/7/27/35/36
6166353	42
6183780	3/4/8/10/13
6189838	3/4/8/10/13
6189843	3/4/8/10/13
6190553	3/4/8/10/13
6190922	3/4/8/10/13
6209048	5/17/28
6222276	5/17
6224116	5/17
6224328	5/17
6229501	20/22/25
