cell	clone
7744797	0
7827222	23/32/36/51/62
7917292	40/42
7936902	4/9/20/26/34/35/37/45/54/59
7964892	68
8027975	7/12/18
8055816	58
8071671	23/32/36/51/62
8079030	67
8116806	0
8121684	0
8145996	7/12/18
8153770	7/12/18
8175553	40/42
8189553	4/9/20/26/34/35/37/45/54/59
8203862	23/32/36/51/62
8213639	6/8/10/19/30/33/41/63/66
8215246	6/8/10/19/30/33/41
8233717	0/5/13/15/17/21/22/24/29/39
8234425	0
8244437	1
8245449	0
8246147	0
8252028	0
8254668	0
8256217	0
8257140	0
8257690	7/12/18/23
8269389	7/12/18/23
8283941	40/42
8286473	40/42
8288061	40/42
8291347	40/42
8291761	58
8292729	40/42
8294151	40/42
8300821	58
8304145	40/42
8305143	40/42
8306450	40/42
8312146	4/9/20/26/34/35/37/45/54/59
8318204	4/9/20/26/34/35/37/45/54/59
8318209	23/32/36/51/62
8318919	67
8319288	4/9/20/26/34/35/37/45/54/59
8323792	67
8337414	6/8/10/19/30/33/41/63/66/69
8350642	63/66
8352482	6/8/10/19/30/33/41
8352694	6/8/10/19/30/33/41
