cell	clone
10315077	33/35/42/46/52
10338723	39/45/55/64
10441116	0
10477411	6/7/8/31
10645042	50/58/63/76
10755052	61
10809589	33/35/42/46/52
10820897	12/14/15/17/20/26/40/62/66
10905249	77/80
10931502	0
10941256	6/7/8/31
10976859	6/7/8/31
10983519	6/7/8/31
10987437	6/7/8/31
10993002	4/9/10/16/18/21/24/27/38/44
11057504	33/35/42/46/52
11066555	12/14/15/17/20/26/40/62/66
11078421	39/45/55/64
11093046	39/45/55/64
11108148	39/45/55/64
11118521	39/45/55/64
11154804	50/58/63/76
11176979	0
11183385	5
11193541	5
11198034	1/2/3
11205124	6/7/8/31
11234641	6/7/8/31
11238339	6/7/8/31
11243258	32
11259744	4/9/10/16/18/21/24/27/38/44
11260828	61
11294022	33/35/42/46/52
11294234	33/35/42/46/52
11299407	33/35/42/46/52
11310131	33/35/42/46/52
11313653	33/35/42/46/52
11330965	12/14/15/17/20/26/40/62/66
11332266	12/14/15/17/20/26/40/62/66
11342605	39/45/55/64
11345008	39/45/55/64
11347904	39/45/55/64
11356956	39/45/55/64
11378440	39/45/55/64
11392048	19/72/74
11400133	50/58/63/76
11404810	50/58/63/76
11415742	50/58/63/76
11433146	77/80
9860008	33/35/42/46/52
