cell	clone
6967834	9/12/15/18/19/21/29
7013798	59
7202588	32/42/51
7282550	59
7422937	77
7442440	0/1
7455556	11/22/23/31
7472865	32/42/51
7536746	67
7556854	67
7560559	5/6/7/8/16/17/30/33/34/37/45/47/62/63
7563814	59
7567746	59
7577496	72
7638143	32/42/51
7667458	40
7674050	38
7713545	67
7723262	59
7739852	72
7743047	59
7750703	0/1/2/4
7751411	0/1/2
7761423	2/3
7762435	2/5
7769014	2
7771654	2
7774126	3
7774676	2
7786375	32/42/51
7803459	32/42/51
7808333	32/42/51
7808747	54
7809715	32/42/51
7811137	32/42/51
7817807	32/42/51
7821131	32/42/51
7822129	32/42/51
7823436	32/42/51
7835190	38
7835905	38
7836274	39/44
7869468	69
7869680	69
7874853	67
7885577	2
7896714	59
7896964	59
7913046	59
7919351	59
