cell	clone
7617003	50
7673569	54
7764176	43/45
7804214	48
7891962	0/1
7893732	0/1
7898647	6/9
7906786	0/1
7923126	50
7940952	14/15/17/21
7950372	31
7955203	29
7958331	26/30
7960397	42
7964301	43/45
7970906	43/45
7978226	49
7978374	42
7987628	8/16/18/28/35/36/46
7988011	58
7990149	0/1
7990857	5
8000869	0/2/3
8001881	0/1
8002579	6/9
8008460	0/1
8011100	6
8012649	0/1
8013572	0/1
8014122	0/1
8025821	11/13/19/20/22/23/24/25/27/33/38/40/44
8040373	14/15/17/21
8042905	32
8044493	14/15/17/21
8047779	29
8048193	14/15/17/21
8049161	14/15/17/21
8050583	31
8057253	14/15/17/21
8060577	29
8061575	14/15/17/21
8062882	31
8068578	43/45
8074636	43/45
8074641	47
8075351	43/45
8075720	43/45
8080224	43/45
8092398	34/37/39/41
8093846	8/16/18/28/35/36/46
