cell	clone
6310260	36/41
6636868	12/14/26/27/28/32
6740000	7/9/10/13/17/18/22/29/31/33/34
6742419	7/9/10/13/17/18/22/29/31/33/34
6847464	7/9/10/13/17/18/22/29/31/33/34
6878882	8/11/16
6914111	39
7022010	8/11/16
7063670	24/25/30
7063994	24/25/30
7084705	0/1
7089639	0/1
7097719	6
7143286	7/9/10/13/17/18/22/29/31/33/34
7164482	19/20/21
7168604	8/11/16
7205912	24/25/30
7207016	24/25/30
7215919	0/1
7216627	6
7226639	2/3/4
7227651	0/1
7228349	6
7234230	0/1
7236870	5
7238419	0/1
7239342	6
7239892	0/1
7251591	7/9/10/13/17/18/22/29/31/33/34
7268675	37
7273549	7/9/10/13/17/18/22/29/31/33/34
7273963	7/9/10/13/17/18/22/29/31/33/34
7274931	7/9/10/13/17/18/22/29/31/33/34
7276353	36
7283023	7/9/10/13/17/18/22/29/31/33/34
7286347	7/9/10/13/17/18/22/29/31/33/34
7287345	7/9/10/13/17/18/22/29/31/33/34
7288652	7/9/10/13/17/18/22/29/31/33/34
7300406	8/11/16
7301121	8/11/16
7301490	19/20/21
7319616	8/11/16
7332844	39
7334684	12/14/26/27/28/32
7334896	12/14/26/27/28/32
7340069	42
7346613	48
7350725	24/25/30
7350793	24/25/30
7354315	24/25/30
