	0	1	2	3	4	5	6	7	8	9
8827689	28	45	46	0	47	73	0	78	0	0
8825979	28	87	0	24	24	62	0	0	15	91
8735831	28	0	27	0	0	0	0	45	62	0
8814312	28	34	23	0	72	3	18	0	0	44
8815967	28	0	100	79	72	0	85	0	0	0
8836210	0	18	42	21	44	81	46	90	0	0
8833570	99	29	6	0	0	0	13	63	99	0
8815259	0	1	27	24	77	33	85	0	89	0
8307363	34	22	0	9	0	0	0	96	0	6
8837759	63	39	19	95	0	5	0	0	0	0
8826991	63	39	19	95	0	5	0	0	0	0
8839232	0	98	99	91	87	62	85	0	77	0
8761701	63	0	3	9	20	0	0	93	38	16
8864899	87	62	0	0	0	46	0	93	3	0
8846830	0	5	35	20	0	0	0	93	65	0
8711795	0	0	79	0	0	0	0	93	48	0
8838682	0	65	0	96	0	65	63	90	24	65
8758575	62	44	0	7	35	98	0	93	18	0
8848452	0	0	0	3	65	60	43	93	60	0
8514444	61	-1	39	78	0	0	54	65	20	78
8491601	0	67	51	44	0	0	5	78	40	39
8798465	0	67	51	0	0	0	5	78	72	0
8618485	0	24	6	78	83	91	0	0	79	100
8802967	39	67	51	0	0	0	5	78	0	96
8895830	48	67	51	0	3	0	5	78	0	96
8695119	0	67	51	0	0	45	5	78	5	0
8797403	0	67	51	0	0	14	5	78	0	0
8905899	0	67	51	42	0	0	5	78	0	87
8683339	38	24	0	78	0	38	0	0	0	97
8872551	0	24	0	78	0	38	0	0	100	97
8906135	0	67	51	0	0	0	5	78	0	0
8789746	0	67	51	0	3	0	5	78	0	60
8891898	0	67	51	0	0	47	5	78	0	90
8902466	6	67	51	0	0	0	5	78	0	0
8257084	0	24	0	78	63	38	0	0	65	97
8771052	24	24	72	78	0	38	0	0	5	97
8889861	91	24	0	78	0	38	0	0	38	97
8682009	91	24	89	78	0	38	6	63	85	97
8886761	0	24	32	78	0	38	77	0	0	97
8910025	0	67	51	0	0	0	5	78	30	0
8566156	23	24	0	78	32	38	0	0	0	97
8465622	23	24	0	78	0	38	100	0	63	97
8671124	23	24	0	78	0	38	0	35	0	97
8681038	23	24	74	78	0	38	60	0	0	97
8881960	65	24	0	78	0	38	0	0	69	97
8780052	0	24	16	78	77	38	0	0	0	97
8909854	0	67	51	0	0	0	5	78	0	0
8689001	0	67	51	0	97	0	5	78	91	7
8562815	23	24	0	78	0	38	0	0	85	97
8561305	23	24	0	78	0	38	32	0	0	97
