cell	clone
7886542	3/5/8/9/12/22/29/32
7898517	0
8027677	0
8163340	0
8185621	6/11/14/18/24/27
8197146	6/11/14/18/24/27
8240442	4/7/13
8324472	6/11/14/18/24/27
8366692	17
8369239	4/7/13
8385489	16/31
8396288	16/31
8470078	6/11/14/18/24/27
8492306	19
8494021	4/7/13
8541710	39
8543264	36/40
8548364	0
8549072	0
8559084	0
8560096	2
8560794	0
8566675	0
8569315	2
8570864	1
8571787	0
8572337	0
8584036	6/11/14/18/24/27
8601120	6/11/14/18/24/27
8602708	6/11/14/18/24/27
8605994	6/11/14/18/24/27
8606408	6/11/14/18/24/27
8607376	6/11/14/18/24/27
8608798	28
8615468	6/11/14/18/24/27
8618792	6/11/14/18/24/27
8619790	6/11/14/18/24/27
8621097	6/11/14/18/24/27
8626793	4/7/13
8632851	20
8633566	4/7/13
8633935	4/7/13
8652061	16/31
8665289	34
8667129	35
8667341	16/31
8672514	34
8679058	39
8683170	3/5/8/9/12/22/29/32
8683238	3/5/8/9/12/22/29/32
