cell	clone
7440149	13/15
8240974	6/9
8263211	2/7/8
8352057	6/11/12/16/19/31
8463091	2/7/8
8491160	13/15
8494630	13/15
8508725	23
8524613	0
8526447	0
8531469	0
8539668	0
8554993	6/10
8565714	6/9
8575163	2/7/8
8586704	2/7/8
8586780	2/7/8
8609655	13/15
8620044	23
8621217	18
8627727	0/1
8628435	0/5
8638447	0
8639459	0
8640157	0
8646038	0
8648678	1
8650227	4
8651150	0
8651700	0
8663399	6/9
8677951	6/9
8680483	6/11/12/16/19/31
8682071	6/11/12/16/19/31
8685357	6/11/12/16/19/31
8685771	2/7/8
8686739	2/7/8
8688161	2/7/8
8694831	2/7/8
8698155	17/21/27
8699153	2/7/8
8700460	2/7/8
8706156	2/7/8
8712214	13/15
8712219	13/15
8712929	13/15
8713298	13/15
8717802	13/15
8729976	18
8731424	18
