cell	clone
6981194	70/71
7709814	0
7760046	4/5/7/8/17/18/31/34/44
7810740	70/71
7894683	4/5/7/8/17/18/31/34/44
7970041	46
8000266	2
8051905	4/5/7/8/17/18/31/34/44
8068396	11/15/25/29/39/58/61
8103838	0
8109711	0
8145239	4/5/7/8/17/18/31/34/44
8181028	11/15/25/29/39/58/61
8233395	0
8242374	0
8252905	0
8256713	52
8271310	4/5/7/8/17/18/31/34/44/51
8274241	4/5/7/8/17/18/31/34/44
8280895	4/5/7/8/17/18/31/34/44
8298482	4/5/7/8/17/18/31/34/44
8300281	4/5/7/8/17/18/31/34/44/51
8325277	11/15/25/29/39/58/61
8336729	43
8356571	13/30/50/83
8359748	0
8360765	0
8362592	0
8370736	1
8375705	0
8377600	1
8381087	0/1/4
8393616	4/5/7/8/17/18/31/34/44/51
8408168	4/5/7/8/17/18/31/34/44
8410700	4/5/7/8/17/18/31/34/44
8412288	4/5/7/8/17/18/31/34/44
8415574	4/5/7/8/17/18/31/34/44
8415988	4/5/7/8/17/18/31/34/44
8424645	48
8429446	4/5/7/8/17/18/31/34/44
8436373	66
8442431	11/15/25/29/39/58/61
8442436	70/71
8443146	70/71
8443515	11/15/25/29/39/58/61
8461641	10/16/23/27/32/35/36
8474869	43
8476709	49
8476921	10/16/23/27/32/35/36
8482094	43
