	0	1	2	3	4	5	6	7	8	9
12962573	44	2	0	51	0	92	0	13	98	29
12965045	0	98	0	0	68	7	13	41	32	13
12941622	63	35	0	99	0	96	0	0	0	32
12603095	80	100	0	0	92	3	7	36	98	25
12953354	0	94	41	95	0	13	97	29	0	26
12607248	71	78	0	92	66	0	0	68	0	0
13065772	48	41	9	97	0	0	0	0	9	56
12952342	0	35	81	0	97	0	3	48	53	55
12924294	25	35	20	0	50	68	0	0	0	0
12942330	97	97	76	0	0	100	0	0	0	5
12869812	0	33	0	97	0	20	38	5	0	97
12900206	71	88	0	81	44	24	0	0	13	20
12840181	0	89	0	36	0	71	20	0	52	76
13060387	0	32	26	97	0	84	41	0	97	0
13060599	0	0	26	97	77	0	2	0	0	0
12959933	84	0	93	29	0	36	32	0	85	62
13027193	0	65	0	57	0	0	0	0	0	0
13076496	65	52	41	41	0	0	0	58	0	50
13080018	65	52	41	41	0	0	0	0	0	50
13000634	10	0	96	0	79	0	0	0	16	25
13026109	29	26	0	0	100	71	0	94	0	0
13114269	7	0	0	63	6	64	0	0	62	75
13111373	7	0	0	63	6	64	0	0	0	75
12999252	63	0	0	85	0	63	0	0	16	25
13013048	0	0	19	29	0	0	0	13	16	25
13002056	83	0	0	0	0	0	84	0	16	25
12977294	26	91	0	0	53	0	38	0	16	25
13008726	0	77	0	0	0	41	95	40	16	25
13014355	10	0	0	0	53	0	0	0	16	25
12999666	10	0	0	33	0	0	0	0	16	25
12724287	71	88	0	0	44	24	0	0	0	20
12913493	71	88	0	33	44	24	2	0	0	20
12540636	71	88	0	8	44	24	0	41	0	20
12893505	71	88	0	0	44	24	0	41	0	20
12844155	98	0	89	7	84	71	13	80	10	0
12850841	0	0	85	0	15	71	5	0	0	0
12581574	7	0	0	63	6	64	21	48	0	75
13012050	53	53	0	0	0	0	0	3	16	25
12965595	0	0	0	85	0	0	46	0	16	25
12109898	0	0	0	76	0	75	0	38	16	25
12994378	0	0	0	0	0	0	0	0	16	25
12292123	83	75	0	0	0	0	84	0	16	25
12813708	83	0	0	0	0	0	84	0	16	25
12746327	7	0	0	63	6	64	76	0	0	75
12739637	7	98	0	63	6	64	40	0	0	75
13108970	7	98	41	63	6	64	40	0	0	75
13097330	7	49	0	63	6	64	48	48	0	75
13098631	7	0	0	63	6	64	23	48	0	75
12936255	7	0	0	63	6	64	0	0	0	75
13094352	7	0	0	63	6	64	0	0	0	75
