cell	clone
9139564	68
9182363	9/12/16/19/25/27/33/37/50/55/64/75
9215090	63
9224374	1
9259924	3/6/18/26/28/30/44/53/56/61
9281438	74
9290714	3/6/18/26/28/30/44/53/56/61
9359582	9/12/16/19/25/27/33/37/50/55/64
9376427	73
9379409	90
9389679	63
9399228	5
9403023	1
9404759	5
9413758	5
9434627	3/6/18/26/28/30/44/53/56/61
9459755	63
9462590	3/6/18/26/28/30/44/53/56/61
9470418	34/48/51/62
9474309	34/48/51
9500022	2/29/41
9525522	9/12/16/19/25/27/33/37/50/55/64/75
9530477	9/12/16/19/25/27/33/37/50/55/64
9543883	9/12/16/19/25/27/33/37/50/55/64
9551895	73
9552704	90
9571433	1/2
9578416	0
9590066	0
9594277	0
9617658	63
9625697	63
9628312	63
9633604	3/6/18/26/28/30/44/53/56/61
9635636	3/6/18/26/28/30/44/53/56/61
9637877	63
9656274	57
9657358	34/48/51
9690552	2/29
9690764	2/29
9695937	2/29
9706661	9/12/16/19/25/27/33/37/50/55/64
9710183	9/12/16/19/25/27/33/37/50/55/64
9724517	73
9727495	73
9728796	73
9739135	4/20/24/32/47/60/67/79
9741538	4/20/24/32/47/60/67/79
9744434	63
9753486	63
