	0	1	2	3	4	5	6	7	8	9
6528757	0	0	97	86	76	98	72	97	0	0
7128006	8	14	66	67	44	11	99	0	0	58
7139786	50	73	0	0	0	0	0	18	62	49
6542600	64	0	0	0	13	86	11	18	0	0
7138237	80	0	78	-1	0	86	0	93	8	88
7117286	13	0	78	-1	0	81	60	37	0	0
7117994	0	0	66	57	0	60	56	72	67	95
7129716	89	0	0	82	36	0	67	0	66	0
7046905	0	0	0	99	0	86	0	18	0	0
7202857	0	0	0	99	0	86	0	18	17	0
7129018	73	35	78	-1	0	14	0	57	86	18
7140709	31	82	78	-1	0	77	0	57	0	0
7141259	0	3	78	-1	45	91	0	0	0	16
7220983	73	0	0	13	0	94	0	72	55	0
7135597	89	0	0	0	0	91	0	72	18	0
6398500	0	2	0	69	36	76	0	12	91	60
6851071	69	3	78	-1	0	59	0	60	0	0
7175330	77	3	78	-1	35	36	11	60	73	0
7174916	48	3	78	-1	0	0	0	60	0	0
6903880	93	56	0	60	36	0	0	48	0	0
7202488	0	56	0	86	36	0	0	0	0	73
7046155	82	56	0	91	36	0	0	0	0	0
6763505	0	56	0	0	36	67	0	0	0	0
7201773	0	56	0	0	36	67	0	0	0	86
7177720	86	3	78	-1	48	44	35	60	60	86
7190019	0	3	78	-1	0	0	0	60	0	0
6939008	0	3	78	-1	14	0	0	60	60	0
7184390	0	3	78	-1	0	0	77	60	60	0
7152958	64	3	78	-1	0	0	0	60	0	0
7176298	0	3	78	-1	0	0	0	60	0	57
7022064	2	3	78	-1	0	37	67	60	67	32
7270017	0	3	78	-1	0	95	0	60	21	32
6862923	0	3	78	-1	0	76	0	60	0	0
7170042	59	3	78	-1	0	0	0	60	50	0
7009475	0	3	78	-1	82	0	0	60	0	0
7071915	0	3	78	-1	18	0	78	-1	0	0
7188712	97	3	78	-1	0	66	0	60	86	8
7187714	2	3	78	-1	76	66	0	60	0	0
7253239	0	3	78	-1	18	0	78	-1	0	0
5835610	0	3	78	-1	18	63	78	-1	0	0
7072910	0	3	78	-1	18	0	78	-1	0	0
7222311	0	3	78	-1	18	0	78	-1	54	0
7261715	0	3	78	-1	18	73	78	-1	67	33
7260189	0	3	78	-1	18	84	78	-1	0	0
6654601	0	3	78	-1	18	0	78	-1	0	0
7251816	96	3	78	-1	18	0	78	-1	0	0
7077936	0	3	78	-1	18	0	78	-1	60	85
7229987	0	3	78	-1	18	0	78	-1	0	0
6921210	0	3	78	-1	18	0	78	-1	0	0
7096659	0	3	78	-1	18	86	78	-1	0	0
