cell	clone
10061432	1/2
10063162	0
10119480	28
10129547	14/19
10143451	6/9/10/15/26/27/31
10147522	33/35
10147690	6/9/10/15/26/27/31
10171785	1
10179907	3/4
10190955	13/16
10197964	13/16
10228107	14/19
10231255	14/19
10237225	6/9/10/15/26/27/31
10243755	6/9/10/15/26/27/31
10247424	6/9/10/15/26/27/31
10259918	0
10260865	0
10261573	3/4
10271585	3/4
10272597	1/2
10273295	0
10279176	0
10281816	0
10283365	0
10284288	0
10284838	1
10296537	7/11/12
10311089	17/18/20
10313621	14/19
10315209	14/19
10315338	14/19
10318495	14/19
10318909	14/19
10319877	14/19
10321299	14/19
10327969	14/19
10331293	14/19
10332291	5/8/24
10333598	14/19
10339294	6/9/10/15/26/27/31
10345352	6/9/10/15/26/27/31
10345357	6/9/10/15/26/27/31
10346067	6/9/10/15/26/27/31
10346436	6/9/10/15/26/27/31
10350940	6/9/10/15/26/27/31
10361997	6/9/10/15/26/27/31
10363114	36/43/51
9695220	14/19
9895738	13/16
