cell	clone
4282899	15
4369075	2
4451673	0/3
4474626	3/11
4494525	3/11
4530243	28
4593836	15
4628955	28
4632154	28
4640033	28
4653381	0/1
4660157	6
4682284	3/11
4697574	15
4699061	3/11
4721817	28
4725391	44
4731311	28
4747342	28
4748324	28
4752858	0/2
4753566	0/3
4763578	4
4764590	0/3
4765288	0/1
4771169	0/2
4773809	0/1
4775358	0
4776281	2
4776831	1
4788530	3/11
4803082	3/11
4805614	15
4807202	3/11
4810488	3/11
4810902	18
4811870	3/11
4813292	3/11
4819962	15
4823286	18
4824284	15
4825591	3/11
4831287	28
4837345	28
4837350	28
4838060	28
4838429	28
4842933	28
4855107	28
4856555	28
