cell	clone
3994300	0
4019703	11
4053063	23/26
4137497	5/6/9
4166542	12/14
4173569	12/14
4173721	12/14
4192238	0
4224348	15
4269259	27
4269482	27
4301308	2
4304343	1
4328196	1
4345772	22
4353586	12/14
4355577	12/14
4359517	12/14
4378871	0/1
4379818	4
4380526	0
4386225	3
4390538	0
4391550	0
4392248	4
4398129	0
4400769	1
4402318	0
4403241	1
4403791	0
4415490	1
4430042	5/6/9/23/26
4432574	5/6/9
4434162	5/6/9
4434291	22
4437448	22
4437862	22
4438830	22
4440252	22
4446922	22
4450246	5/6/9
4451244	23/26
4452551	32
4456632	12/14
4458247	12/14
4464305	12/14
4464310	12/14
4465020	12/14
4465389	12/14
4469893	27
