	0	1	2	3	4	5	6	7	8	9
8707316	73	61	0	34	94	75	46	1	0	0
8713895	60	75	0	32	0	42	63	0	10	53
8706304	0	40	0	32	28	26	0	5	0	53
8719557	100	0	0	72	70	0	0	0	0	53
8147597	54	17	0	64	71	0	70	15	48	68
8695584	7	17	52	61	66	23	25	11	0	14
8716535	42	0	79	0	0	34	25	28	77	0
8719007	0	40	92	57	46	7	48	8	0	55
8349159	42	8	0	79	0	7	0	0	0	20
8314624	66	0	0	56	0	3	0	64	0	0
8272339	42	68	0	0	0	98	78	75	0	0
8542859	42	68	40	0	0	98	70	5	0	0
8653616	0	43	0	25	52	3	40	0	0	70
8650525	0	43	0	25	52	3	0	94	0	20
8668445	69	43	98	25	52	3	70	0	91	81
8731256	0	43	0	0	94	3	0	1	26	26
8865335	0	43	16	25	52	3	0	0	0	0
8546928	0	43	0	98	1	3	0	18	0	0
8307968	0	43	0	75	0	3	0	0	0	0
8898767	0	43	73	75	0	3	0	64	0	0
8868231	0	43	0	8	0	3	5	40	0	58
8651552	0	43	0	8	0	3	5	40	98	26
8852593	0	43	0	25	52	3	0	0	75	0
8862932	0	43	0	25	52	3	0	81	0	0
8767010	75	43	61	0	22	3	43	70	73	36
8748340	0	43	0	82	62	3	43	53	0	36
8766012	0	43	79	0	42	3	43	0	5	36
8753628	42	43	79	94	0	3	43	0	0	36
7577085	0	43	79	15	0	3	43	0	0	36
8585210	0	43	79	15	0	3	43	0	0	36
8624783	38	43	79	70	0	3	43	0	0	36
8392872	0	43	75	82	70	3	43	53	0	36
8768317	0	43	79	0	0	3	43	87	0	36
8781155	0	43	79	0	0	3	43	0	35	36
8814349	38	43	79	24	0	3	43	0	0	36
8830458	38	43	79	0	0	3	43	0	0	36
7963860	0	43	78	82	0	3	43	53	24	36
8877283	0	43	0	82	0	3	43	53	0	36
8753214	0	43	79	10	0	3	43	0	0	36
8756018	7	43	79	0	0	3	43	0	51	36
8762688	0	43	79	0	0	3	43	53	0	36
8780071	0	43	79	0	0	3	43	0	0	36
7775117	38	43	79	0	0	3	43	0	0	36
8833980	38	43	79	0	0	3	43	0	0	36
8615379	38	43	79	0	0	3	43	0	0	36
8819734	38	43	79	36	81	3	43	81	0	36
8625473	38	43	79	36	0	3	43	0	0	36
8851292	38	43	79	0	0	3	43	0	0	36
8609860	38	43	79	0	32	3	43	0	0	36
8814561	38	43	79	75	0	3	43	0	0	36
