cell	clone
12701282	1
12877286	39/43/46/47/49
12988199	0/12
13025041	12/15/27/30/31/32/33/37
13028964	12/15/27/30/31/32/33
13130882	1
13238576	12/14/16/21/28/44/50/51/54/55/68/70/73
13251971	101
13257657	36/48/57/74
13321110	39/43/46/47/49
13340411	56
13341557	45/52/53/58/65
13358275	61/71
13369955	86
13393521	36/48/57/74
13399731	36/48/57/74
13408241	0/9/11
13408949	0/1/3
13418961	0/2/10
13419973	0
13420671	0
13426552	1
13429192	1
13430741	4/6/8
13431664	9
13432214	1
13443913	4/6/17/22/23/26
13460997	39/43/46/47/49
13465871	39/43/46/47/49
13466285	39/43/46/47/49
13467253	37/59/60/63
13468675	37/59/60
13475345	37/59/60
13478669	37/59/60
13479667	37/59/60
13480974	56
13486985	61
13488120	61
13492897	61
13506311	45/52/53/58/67
13509879	61
13511940	12/14/16/21/28/44/50/51/54/55/68/70/73
13525168	12/14/16/21/28/44/50/51/54/55/68/70/73
13527008	12/14/16/21/28/44/50/51/54/55/68/70/73
13527220	86
13532393	12/14/16/21/28/44/50/51/54/55/68/70/73
13538937	36/48/57/74
13543049	36/48/57/74
13543117	36/48/57/74
13546639	36/48/57/74
