	0	1	2	3	4	5	6	7	8	9
0_P	0	8	82	57	18	73	14	44	74	23
1_P	1	44	70	58	78	15	48	82	8	1
2_P	73	24	78	12	9	79	53	32	100	1
0_M1	23	40	9	14	55	96	40	47	47	22
6/9/10/12/13/17_M1	61	99	27	49	20	100	54	88	79	1
3_P	0	62	39	91	50	81	69	-1	95	0
15/18_M1	23	56	-1	10	47	42	92	6	44	12
23/30/54/64/100_M9	23	16	82	10	82	42	6	91	44	44
24/25/26/28/31/32/33/39/41/56/60/62/77/88_M9	23	51	69	-1	31	42	57	28	44	13
4/5/7/8/11/14/16/19_M1	6	12	1	66	83	51	54	1	60	26
22_M1	0	97	1	53	0	100	96	1	80	40
29/36/47/67_M3	23	51	16	10	72	42	93	78	44	10
80_M3	23	33	23	10	96	42	82	27	44	0
83_M3	23	30	19	10	56	-1	1	38	44	50
27/35/38/57/65/71/72/73/89_M7	23	96	95	10	50	42	94	71	44	1
105_M7	23	0	81	10	41	42	37	0	44	32
20_M1	58	92	1	47	86	88	48	1	14	67
21_M1	100	1	1	47	49	57	94	1	65	12
34/37_M2	0	83	1	1	42	91	12	1	0	0
40/44_M2	23	66	1	14	37	44	92	1	18	34
50_M2	50	35	1	14	6	89	43	1	0	73
55/58/75/91/99_M8	39	51	1	78	80	73	80	1	24	40
42_M2	97	20	1	58	94	1	92	1	0	12
48_M2	100	85	1	86	0	0	1	1	8	34
45_M2	10	36	1	88	52	0	73	1	58	75
46_M2	62	0	1	65	56	-1	1	1	26	95
46_M4	39	44	1	66	26	94	23	1	94	88
76_M4	83	21	1	82	8	0	80	1	65	53
82_M4	25	80	1	22	82	50	37	1	98	64
84_M4	85	56	-1	73	18	4	51	1	91	1
49_M2	100	49	1	21	72	17	14	1	63	28
43/61/66/69/90/94_M8	6	73	1	51	28	50	42	1	14	86
107_M8	86	68	1	6	28	40	82	1	23	65
68/74/93_M8	83	23	1	80	57	0	65	1	65	16
106_M8	83	25	1	94	98	80	84	1	82	65
79_M6	44	72	1	86	73	1	49	1	44	27
95_M6	73	80	1	71	100	25	12	1	36	14
86/96_M6	65	18	1	69	-1	61	94	1	24	95
97_M6	92	0	1	6	92	40	40	1	0	12
103_M6	18	99	1	54	47	53	48	1	78	63
78_M4	40	33	1	54	37	24	13	1	23	82
51/52/53/70_M5	95	44	1	26	94	30	91	1	51	38
101_M5	80	6	1	14	83	16	1	1	78	31
102_M5	1	96	1	40	34	86	0	1	1	0
104_M5	86	54	1	99	14	49	44	1	23	8
59/63/85/92_M6	63	73	1	6	44	1	78	1	57	69
98_M6	0	21	1	76	57	1	0	1	0	69
81_M4	55	55	1	73	12	0	18	1	23	58
87_M4	28	6	1	50	63	37	72	1	79	73
